question,answer
我想食滬菜，你有冇邊間推介呀？,你可以考慮吓鼎泰豐，呢間餐廳鼎泰豐的銅鑼灣分店多年來廣受歡迎，輪候人潮不曾消減，全因廚房團隊注重食物質素，與供應商合作良久，確保餐廳水準始終如一。來此用膳必嘗小籠包，除了傳統口味，亦有黑松露、絲瓜蝦仁等特色選擇。餐廳還為初次光顧的客人提供進食小籠包的說明，非常周到。此外，原盅雞湯和紅燒牛肉湯麵亦值得一試。。。
我想食麵食，你有冇邊間推介呀？,你可以考慮吓麥文記，呢間餐廳麵店已走過一甲子歲月，雖然裝潢簡單樸素，仍深受食客歡迎。所用麵條以鴨蛋製作，蛋味香濃而麵質爽彈。鮮蝦雲吞以薄薄的雲吞皮包着滿滿的蝦肉，用料十足，口感一流。其雲吞麵分量小巧，不妨以南乳豬手佐餐。如果選擇撈麵，建議配蠔油拌勻食用，份外可口。亦有售賣手工炒製的蝦籽，供客人在家享用。。。
我想食台灣菜，你有冇邊間推介呀？,你可以考慮吓阿元來了，呢間餐廳創辦人來自台灣，部分材料由家鄉直送，以保持菜品的原汁原味。餐廳裝潢也充滿台灣元素，讓人恍如置身在當地夜市。招牌菜阿元魯肉飯香氣十足，手切滷肉肥而不膩。雙蛋蚵仔煎採用傳統做法，蛋香十足且口感煙韌。蒜泥白肉酸辣開胃，也值得一試。提供數十款台式飲品，餐後來一碗九份芋圓再滋味不過。。。
我想食粥麵，你有冇邊間推介呀？,你可以考慮吓何洪記，呢間餐廳何洪記是香港歷史悠久的麵家之一，自四十年代起在灣仔區營業，多年來其招牌雲吞麵憑着麵條彈牙、湯底鮮甜而口碑載道；其粥品也很出色。遷至商場後，設計變得時尚，座位也更舒適，但重視食品質素的經營方針始終不變，更增加了食物種類，除粥麵外，還供應點心和廣式小菜，難怪吸引到不少客人到此用膳。。。
我想食海鮮，你有冇邊間推介呀？,你可以考慮吓避風塘興記，呢間餐廳歷經三代，原址在銅鑼灣，其後才遷到尖沙咀現址，這家由祖父輩創辦的餐廳一直以避風塘特色小菜為賣點。廚房由弟弟掌舵，大家姐則負責領導服務團隊。海鮮每天新鮮進貨，供應有限，不妨於訂座時預留，招牌菜包括避風塘炒蟹、燒鴨湯河及艇仔粥，前者更可選擇不同辣度。座位不多，食客須到齊方能入座。。。
我想食粵菜，你有冇邊間推介呀？,你可以考慮吓蛇王熙，呢間餐廳蛇王熙由老店蛇王二的店長創立，選址同一街道，繼續為客人提供蛇羹、糯米飯、燒味等美食。蛇羹經過悉心改良，除了原有的雞肉、陳皮絲、木耳絲、冬菇絲等材料，更加入花膠和手切豬肉，並調整湯底的濃稠度，味道和口感均十分豐富。店內同時售賣各式臘味，其中脆皮鮮鴨膶腸特別值得一試。。。
我想食閩菜，你有冇邊間推介呀？,你可以考慮吓莆田，呢間餐廳2000年在新加坡開業，後擴展至香港，老闆以其家鄉福建內的城市為餐廳命名，堅守忠於原味、鮮味自然的原則，做出一道道佳餚。餐廳除了不時為主菜單添加新菜式，亦會按季節推出以蟶子、海蠣等時令海產製作的美食，保持新鮮感。推介菜式包括燜黃花魚、九轉小腸、炒芋頭，自家秘製的辣椒醬更是非試不可。。。
我想食粵菜，你有冇邊間推介呀？,你可以考慮吓香宮，呢間餐廳數十年來一直供應傳統粵菜，不乏捧場客之餘，還不時座無虛席。用餐區裝潢華麗古雅，在水晶吊燈與宋代風格油畫的點綴下，別具韻味。除了招牌菜錦繡星斑件及胡椒焗大肉蟹，亦推薦蘆筍木耳筍尖炒乳鴿脯，其肉質軟嫩，肉味香濃。餐牌上的選擇琳瑯滿目，若難以決定，不妨點選廚師招牌套餐，一次過品嘗多款廚師拿手菜式。。。
我想食餃子，你有冇邊間推介呀？,你可以考慮吓阿純山東餃子，呢間餐廳綠色木窗框和木製傢具帶傳統味道，很有老香港感覺。這裏供應多款傳統餃子，每天在店內以人手包製，並以新鮮食材作餡，其中最受歡迎的要數京葱羊肉餃，薺菜鮮肉餃也值得一試。此外，店家秘製數款青島海鮮餃，如墨魚餃和馬鮫魚餃，也給顧客帶來驚喜。餃子以外，山東手撕雞和家鄉餡餅也是招牌菜。。。
我想食順德菜，你有冇邊間推介呀？,你可以考慮吓頤東，呢間餐廳前旺角鳳城酒家於2019年因東主退休而結業，後由新老闆接手，並改名為「頤東」重新開業。餐廳內部經過翻新，用餐環境舒適。新東主沿用大部分舊有廚房班底，延續傳統順德菜手藝。招牌菜鴻運乳豬、炸子雞和蝦多士等依舊美味。大良炒鮮奶口感順滑、充滿奶香；順德魚肚羹則用料十足，充滿傳統風味。。。
我想食星馬菜，你有冇邊間推介呀？,你可以考慮吓古月，呢間餐廳地點比較隱蔽，從書局街進入方能到達。餐廳提供星、馬美食，牆上畫有富當地特色的卡通繪畫，趣味盎然。餐單貴精不貴多，當中多是香港少見，甚至首家供應的菜式。馬來西亞板麵配搭自製辣椒乾食用，非常惹味。另外，標榜不含味精、湯底以胡椒和生蒜製作的新加坡肉骨茶可以無限添飲，定能滿足客人胃口。。。
我想食街頭小吃，你有冇邊間推介呀？,你可以考慮吓奇趣餅家，呢間餐廳餅店面積不算大，但提供琳瑯滿目的傳統中式餅食，如雞仔餅、老婆餅、光酥餅、合桃酥及香蕉糕等。。。
我想食街頭小吃，你有冇邊間推介呀？,你可以考慮吓兩姊妹涼皮有限公司，呢間餐廳2023年底遷至旺角後，加設堂食座位，繼續提供多款川味小吃。招牌涼皮冰涼透心，配搭青瓜絲、芫荽、花生碎及秘制辣醋，香辣可口，更可自選辣度，愛花椒者不妨選擇多麻。脆辣蓮藕丁也大受歡迎。。。
我想食順德菜，你有冇邊間推介呀？,你可以考慮吓鳳城，呢間餐廳作為香港著名的順德菜館，仍保留傳統茶樓的龍鳳禮堂，吸引不少外地客人前來感受舊時風味。早午市供應點心和小菜，推薦皮脆肉嫩的招牌炸子雞，還有每次一出場就被搶空的沙翁，但只在週末供應。傳統菜式選擇豐富，而且分量十足，建議與親朋好友一同分享。部分菜式須預訂，不妨預早查詢。。。
我想食潮州菜，你有冇邊間推介呀？,你可以考慮吓潮樂園，呢間餐廳供應富有風味的潮州菜，牆壁以丁香、肉桂、南薑等滷水常用香料作畫，滿有趣味！其招牌滷水鵝片甚具水準，採獅頭鵝製作，鵝味濃郁，肉質嫩滑。另外，蠔仔粥、蠔餅，以及魚油豐富的凍魚亦屬必試之選。部分菜式須預訂，建議致電查詢。餐廳價格親民，人氣甚高，且面積不大，繁忙時段或需要拼桌。。。
我想食滬菜，你有冇邊間推介呀？,你可以考慮吓詠藜園，呢間餐廳楊氏家族早年於新蒲崗創立餐廳，後遷至現址，餐室採傳統中式風格，寬敞明亮，並設私人廂房。食物方面，提供多款價廉物美的川滬美食，招牌菜為四川擔擔麵，既提供傳統口味，還有加入肉碎的改良版本，兩者均可配辣或不辣的湯底。另外，水煮桂花魚選用原條鮮魚製作，適合多人共享，值得品嘗。。。
我想食泰國菜，你有冇邊間推介呀？,你可以考慮吓Saya，呢間餐廳裝潢採用湖水綠色背景，配搭藤製傢具和壁畫，帶有泰國風情。泰籍廚師團隊為客人帶來依善地區的傳統泰菜，例如泰北咖喱金麵、炭火鹽燒魚等。前者在咖喱中加入椰漿，配合炭烤雞肉，非常惹味。後者將全魚以鹽包覆，配搭香茅和斑蘭燒製，佐以生菜、米粉和秘製醬汁享用，風味十足。午市套餐經濟實惠。。。
我想食街頭小吃，你有冇邊間推介呀？,你可以考慮吓Joyful Dessert House。
我想食粵菜，你有冇邊間推介呀？,你可以考慮吓明閣，呢間餐廳餐室飾以各類青銅器皿，加上門外庫存豐富的玻璃酒窖，環境優美高雅。具二十多年入廚經驗的李師傅由開業效力至今，其招牌菜遠年陳皮和牛面頰、蜜汁叉燒及酥炸釀鮮蟹蓋等均不容錯過。點心以各地進口的食材炮製，例如蝦餃用上藍天使蝦，叫人耳目一新。嗜酒之人不妨請侍酒師協助挑選佳釀佐餐。。。
我想食街頭小吃，你有冇邊間推介呀？,你可以考慮吓麥記美食。
我想食日本菜，你有冇邊間推介呀？,你可以考慮吓竹家，呢間餐廳雖然隱藏在巷子裏，但鄰近港鐵站，交通便利。由居港多年的日籍主廚和妻子共同經營，以竹子為主題，提供種類繁多的串燒。從挑選食材到製作皆一絲不苟，所用的豬肉和雞隻均來自日本。幸運的話，更可嘗到雞血管、雞心臟等特別部位。備有多款日本酒，特別推介自家浸製的梅酒。但座位有限，建議訂座。。。
我想食粵菜，你有冇邊間推介呀？,你可以考慮吓蛇王良，呢間餐廳小店開業超過二十年，一年四季皆供應蛇羹，更設多款經濟實惠的套餐。招牌蛇羹除了雞絲、木耳絲等材料，曾修讀中醫課程的店東會因應氣候，以藥材配搭蛇肉，達到補而不燥的效果。此外提供多款蛇酒、龜板湯及滋補燉湯，以珍貴藥材入饌的燉湯須提前預訂。冬天更提供期間限定的羊腩和臘味糯米飯。。。
我想食街頭小吃，你有冇邊間推介呀？,你可以考慮吓魚事者，呢間餐廳提供以魚為主題的創新小食：以魚皮模仿墨西哥玉米片，配搭自製牛油果醬和番茄莎莎醬，味道豐富；泰式蝦頭油炸蝦球魚麵撈、炸魚無薯條充滿香氣；晚間才供應的魚米粒粒則製成意大利飯模樣，彈牙好吃。。。
我想食粵菜，你有冇邊間推介呀？,你可以考慮吓石記廚房，呢間餐廳裝修簡約舒適，於日間供應簡餐及炒粉麵；晚上則搖身一變，成為主打家庭式廣東小菜的菜館。老闆兼大廚每天親自前往街市選購新鮮食材，並不時更新菜單。香煎手打墨魚餅充滿嚼勁、味道鮮美，不容錯過。石記風沙雞同樣出色，但須提前一天預訂。另外每日均設精選小炒；冬季更供應美味又合時的煲仔飯。。。
我想食街頭小吃，你有冇邊間推介呀？,你可以考慮吓紅磡雞蛋仔，呢間餐廳開業超過四十年的老字號小店，供應價格親民的雞蛋仔、格仔餅等小吃，是街坊從小吃到大的回憶。雞蛋仔即叫即製，其中朱古力原味抹茶口味，一底包含三種味道，外脆內軟，用料十足。。。
我想食點心，你有冇邊間推介呀？,你可以考慮吓Lulu Baobao，呢間餐廳位於商廈之內，用餐空間寬敞，廚房設有大片玻璃，可以看到師傅製作拉麵和包點的過程。提供數款拉麵、點心和小菜，並設有套餐選擇。推薦「溫柔」蔥油拌麵，手工製麵條充滿嚼勁，配上恰到好處的蔥油，香氣十足。招牌小籠包手工精緻，內餡飽滿多汁，同樣值得一試。由於菜式現點現做，可能等候需時。。。
我想食麵食，你有冇邊間推介呀？,你可以考慮吓華姐清湯腩，呢間餐廳家庭式經營的小店，現由華姐大兒子主理，招待工作則由弟弟打點。他們每天均會用上逾百斤肉味香濃的本地新鮮牛腩，從早上起燜煮招牌牛腩；清湯底則以十多種香料秘製，每個工序都一絲不苟，難怪每天一開店就吸引了不少食客光顧。除了清湯牛坑腩，也不要錯過菜肉雲吞、腩汁蘿蔔及以白滷水浸上幾小時的醉雞。。。
我想食鐵板燒，你有冇邊間推介呀？,你可以考慮吓鑄·鐵板燒，呢間餐廳遷到現址後空間更為寬敞，設有大型鐵板桌及可容納多人的廂房。大部分食材均為當天空運到港，包括來自日本的海膽、活鮑魚及法國的藍龍蝦。萬勿錯過甘鯛魚配海膽忌廉汁：魚鱗炸至香脆，魚肉卻保持鮮嫩，十分可口。晚市提供品嘗菜單及廚師發辦套餐，午市則有較經濟實惠的套餐。亦設有配酒服務。。。
我想食街頭小吃，你有冇邊間推介呀？,你可以考慮吓生記滷味，呢間餐廳這潮州滷水店於1998年開業，選用來自潮州的穀飼獅頭鵝，陳年滷水則加了十數種香料，醇厚甘香。店家每日放入掌、翼、肝、腸、腎等部位慢火浸透入味。其中招牌鵝肉肉質緊緻，肉香十足。。。
我想食粵菜，你有冇邊間推介呀？,你可以考慮吓裕記，呢間餐廳於1958年開業的裕記現已交棒給第二代。從鄉村小店到現在的規模，仍保留着傳統食店風味。其招牌燒鵝是店東按家傳秘方以炭火烤製，味道獨特且酥香肉嫩。為確保貨源和品質，餐廳更於內地自設鵝場，並只選用廣東清遠的黑棕鵝。每天首批燒鵝於11:45出爐，早到埗的食客需稍候。此外，亦供應海鮮及特色小菜。。。
我想食粵菜，你有冇邊間推介呀？,你可以考慮吓大圍小館，呢間餐廳門外一串串紅燈籠、室內一户户桃木窗框和一幅幅屏風，與餐廳供應的傳統粵菜相映成趣。午市時段以供應點心為主，多款坊間少見的經典點心，如鴛鴦臘腸卷、香煎糯米雞等仍能在此品嘗得到。晚市供應的粵式小菜款式多、分量足，菜式名字趣緻，如麻甩吊桶仔，以新鮮雞隻烹調的雞餚值得一試。。。
我想食海鮮，你有冇邊間推介呀？,你可以考慮吓海德花園，呢間餐廳店東同時經營對面的明月海鮮檔，提供空運到港的生猛海鮮予客人選擇，挑選海鮮時不妨向店員查詢最佳烹調方法。師傅烹調海鮮的時間拿捏精準，如鮮甜爽脆的豉椒炒蟶子就火候十足；另推介每天鮮製、以大量鮮魚加入豆腐熬煮至少兩小時而成的淡水鮮魚湯。另外，炸茄子皇、咕嚕肉和腐竹洋薏米糖水也具水準。。。
我想食印尼菜，你有冇邊間推介呀？,你可以考慮吓好運印尼餐廳，呢間餐廳由印尼華僑開設，經營逾三十年，在區內極具人氣。翻新後的餐室充滿印尼風情，顯得年輕而富朝氣。菜單精簡，提供具代表性的印尼美食，真材實料地呈現爪哇中部菜式。除了碳火燒烤的招牌沙爹串，也推介龍東十五夜，糯米飯糰帶淡淡椰香，配上巴東牛肉等豐富配料，讓人回味。在特色飲品中，龍眼冰是不錯選擇。。。
我想食麵食，你有冇邊間推介呀？,你可以考慮吓好湯好麵，呢間餐廳店主善用其逾廿年的法菜經驗，融合西式和中式烹調手法，以優質食材設計出十二款湯麵。推介以多款海鮮和蔬菜炮製的海龍皇湯，口感順滑，海鮮味濃；「好頭好尾」製作費時，加入了牛骨湯和牛尾濃汁，配搭川式燜牛臉肉和法式燜牛尾，每天限量供應。麵食以外，雪葩使用新鮮水果製作，香甜味美，充滿驚喜。。。
我想食粵菜，你有冇邊間推介呀？,你可以考慮吓文苑飯莊，呢間餐廳雖位於隱蔽的屋苑商場內，但開業不久已憑着優質粵菜吸引眾多食客捧場。廚師和服務團隊濟濟一堂，均曾效力於其他知名同業。主打傳統粵菜，除了燒味、點心、海鮮，也提供蛇羹和煲仔飯等時令菜式。金牌小炒王選用特大蝦乾、櫻花蝦和蝦球等，口感豐富且鑊氣十足，適合配搭美酒享用。燒味宜提前預訂。。。
我想食滬菜，你有冇邊間推介呀？,你可以考慮吓一家，呢間餐廳室內設計採用復古風格，色彩鮮豔，加上霓虹燈裝飾，氣氛活潑，充滿新鮮感。菜單同時提供滬菜和川菜，當中包括七里莊酒糟醉雞、紅油抄手、水煮魚片等傳統美食，也有結合傳統和創新的菜式，例如即叫即製的高力芒果奶黃，以及多款名字有趣的特色飲品。午市、晚市均提供價格相宜的套餐。。。
我想食台灣菜，你有冇邊間推介呀？,你可以考慮吓台蔡滷肉飯，呢間餐廳來自台灣的老闆兼主廚，決心開店與客人分享家鄉風味。每日鮮製的招牌滷肉飯，手切豬腩肉肥瘦相間，作法偏向台灣北部風味，提供四種不同的配料組合，並可選配溫泉蛋或溏心蛋。同時供應經典麵食和夜市小吃，其中現點現炸的九層塔鹽酥雞，肉汁豐盈、皮脆肉嫩。店面小巧舒適，門前常見人龍，建議提早前往。。。
我想食麵食，你有冇邊間推介呀？,你可以考慮吓坤記竹昇麵，呢間餐廳店東秉承其家族在廣州的製麵方法，在工房經人手以傳統竹竿壓法每日新鮮打製，配方含大量雞蛋，並施以獨門的除鹼方法，製成的麵條彈牙爽口，啖啖蛋香全無鹼水味，配以自製的大地魚湯和蝦籽更是滋味無窮。推介鮮蝦雲吞麵和蝦籽蠔油撈麵。店家另有出售樽裝蝦籽、大地魚粉及竹昇蛋麵等。。。
我想食麵食，你有冇邊間推介呀？,你可以考慮吓劉森記麵家，呢間餐廳始創於1956年，此家族經營的麵店已傳至第三代。這分店與轉角位的總店長期人頭湧湧，質素不言而喻。竹昇麵及雲吞均在店內新鮮人手製造，雲吞包入原隻鮮蝦及豬肉，飽滿爽口。餐點選擇豐富，推薦雲吞麵、蝦籽撈麵及豬手撈麵，若難以取捨可作雙拼或三拼。餐桌上的自製醃蘿蔔爽脆美味，亦不可不試。。。
我想食街頭小吃，你有冇邊間推介呀？,你可以考慮吓文記車仔麵，呢間餐廳配料多樣的車仔麵，推介自製韭菜餃及瑞士雞中翼，另有蘿蔔、牛肚、豬手等配料任君選擇，佐以秘製辣汁同吃更添滋味。。。
我想食粵菜，你有冇邊間推介呀？,你可以考慮吓增煇藝廚，呢間餐廳除了來自各地的鮮美海鮮，各種鮮雞菜式亦是餐廳的得意之作。老闆曾經營雞隻生意，熟知優質貨源，對烹調雞隻亦得心應手。除了以新鮮龍崗雞清燉一小時而成的金瑤雲腿樂湯雞，亦有坊間較少見、以鮮雞內臟製作的菜餚，如珍肝上湯浸時蔬。部分鮮雞菜式即叫即做，甚或限量供應，宜提前預訂。。。
我想食街頭小吃，你有冇邊間推介呀？,你可以考慮吓合益泰小食，呢間餐廳供應魚蛋、豬皮及蘿蔔等港式小食，店內外均經常人頭湧湧。豬腸粉為店內招牌，軟滑而富米香，加上豬油的香氣，令人垂涎。。。
我想食街頭小吃，你有冇邊間推介呀？,你可以考慮吓深深甜品，呢間餐廳主打港式和台式糖水，風格懷舊。每天新鮮製作的椰子糊屬必試之選，椰香撲鼻，入口香滑濃郁。另外，紫米露配清心丸、腐竹馬蹄清心丸或地道台式甜品也值得一試。。。
我想食點心，你有冇邊間推介呀？,你可以考慮吓添好運，呢間餐廳這裏的二十多款精美點心全由廚師巧手製作，且價錢相宜，加上選址於人口稠密的住宅區內，受食客歡迎乃屬意料之中。由於不設訂座，要有排隊輪候和拼桌的準備。不可不試的點心包括蝦餃、酥皮焗叉燒包和陳皮牛肉球。店家每隔兩至三個月會轉換部分點心款式。。。
我想食街頭小吃，你有冇邊間推介呀？,你可以考慮吓公和荳品廠，呢間餐廳供應豆漿、豆腐花及煎釀豆腐、黃金魚腐等各類豆製品，產品皆來自自設工場，豆味濃郁，其中以豆腐花最為馳名。。。
我想食粵菜，你有冇邊間推介呀？,你可以考慮吓粤，呢間餐廳位於黃金海岸酒店的地面層，優雅舒適的室內環境，與落地玻璃窗外的園林景致巧妙地配合起來。選擇豐富的餐單提供傳統懷舊及較創新的粵菜，廚師精選菜式如龍皇杏汁花膠燉白肺和星洲蝦醬炸雞件等，值得一試。邊品嘗美味的廣式點心，邊欣賞宜人的園林美景，實在是賞心樂事。。。
我想食街頭小吃，你有冇邊間推介呀？,你可以考慮吓蘇記燉蛋，呢間餐廳只供應原味牛奶燉蛋白──以北海道牛乳和鮮蛋白燉製，呈薄膜狀的表面下為流心蛋白，嫩滑非常。設冷及熱兩種選擇，後者即點即燉，需耐心等待。。。
我想食海鮮，你有冇邊間推介呀？,你可以考慮吓容龍，呢間餐廳容龍在本區可謂赫赫有名，裝修後換上更時尚的佈置，新增更多私人廂房，滿足注重私人空間的食客，其中兩間更坐擁海畔美景。為數不少的客人會自攜海鮮加工，個別更不看主菜牌，直接從海鮮單上挑選食物。招牌菜包括芝士焗開邊龍蝦與砵酒焗生蠔；日間則有點心供應。。。
我想食燒味，你有冇邊間推介呀？,你可以考慮吓天鴻燒鵝，呢間餐廳餐廳於2001年開業，憑着味美的燒味和合理價格深受街坊愛戴。招牌燒鵝採用每天由佛山養殖場直送到店的黑棕鵝，分批即醃即燒，確保新鮮，高峰期每日售出近百隻。此外，蜜汁叉燒、燒鴨、花雕醉雞和滷水等亦值得一試；店家更出售自製的清熱五花茶。堂食座位有限，燒味售罄更會提早關門，宜提早前往。。。
我想食粵菜，你有冇邊間推介呀？,你可以考慮吓大榮華，呢間餐廳光顧大榮華是很多人長途跋涉來到元朗的主要原因。除了供應奶黃馬拉糕等點心，酒家還提供近百款圍村小菜及經典粵式名菜，如香茜燒米鴨、缽仔豬油頭抽撈飯及鹹水檸蒸烏頭，特別推介味濃而肉滑的圍頭五味雞。大廚亦會每月更新時令菜式。餐廳用上五彩繽紛的地氈、明亮的燈光和傳統裝飾，感覺煥然一新。。。
我想食海鮮，你有冇邊間推介呀？,你可以考慮吓全記海鮮，呢間餐廳老闆同時經營位於萬年街的同名餐廳，兩者相隔只有數分鐘步程。如欲觀賞宜人的海灣及離島景致，建議選擇位於碼頭邊且設有陽台的這一家。海鮮種類繁多，包括貝類、蝦蟹、墨魚等，可以自行選擇食材和各種烹調方法。如有需要，店員會介紹每款海鮮的最佳烹調法。特別推薦古法椒鹽鮑魚和椒鹽瀨尿蝦。。。
我想食麵食，你有冇邊間推介呀？,你可以考慮吓好到底，呢間餐廳於1946年開業，這家老字號麵家至今仍堅持於自設工場製麵。樓高兩層的店舖內是濃濃的懷舊氣息。雲吞非試不可；除了受食客歡迎的蝦籽撈麵和特製魚皮水餃，炸醬麵和牛腩麵同樣美味。若肚皮仍有空間，香甜的蝦籽蘿蔔亦值得細味！店主同時在市區設立多個銷售店，出售自製乾麵及蝦籽。。。
我想食海鮮，你有冇邊間推介呀？,你可以考慮吓六福菜館，呢間餐廳菜館藏身於西貢海鮮餐廳一帶的後街，佔地三層，門口未見一般海鮮餐館常設的大魚缸，僅以出色的烹調技巧吸引食客。以生猛海鮮炮製的小菜選料上乘，每一口都散發着鮮味。金湯魚蓉羹、椒鹽瀨尿蝦和鹽水蒸西貢魚仔是必吃菜式，傳統粵式小菜如椒鹽奇脆豆腐也值得一試。惟部分海鮮需預留，建議提早查詢。。。
我想食街頭小吃，你有冇邊間推介呀？,你可以考慮吓魚蛋佬，呢間餐廳主打魚蛋、燒賣、腸粉等地道小食，價格親民。招牌白魚蛋每日限量供應，以恰好比例混合多種海魚和麵粉製成，既爽口彈牙，又帶魚肉鮮味。建議以辣椒油佐吃，更為惹味。。。
我想食街頭小吃，你有冇邊間推介呀？,你可以考慮吓浩記甜品，呢間餐廳浩記屹立於旺角逾三十年，於2020年遷入現址，繼續提供價格相宜且具水準的傳統中式糖水，生磨芝麻糊、合桃糊、薑汁湯丸等一應俱全。。。
我想食粵菜，你有冇邊間推介呀？,你可以考慮吓福臨門，呢間餐廳開業七十多年，福臨門一直是城中具標誌性的酒家之一。能夠保持水準，全因秉承父輩烹調粵菜的傳統手法，再配合優質食材，例如每天進貨的海產，確保新鮮味美。無論是午市的粵式點心，或是各種傳統菜餚，均十分出色。特別推介招牌菜釀焗鮮蟹蓋、炸子雞。時令菜單全年供應，部分菜式需預訂，建議致電查詢。。。
我想食粵菜，你有冇邊間推介呀？,你可以考慮吓聚興家，呢間餐廳此店為許多影視名人和酒店大廚的飯堂，即使曾經擴充，仍然經常客滿，請務必訂座。翻開餐牌，可以看到各式各樣的廣東小炒，還有為嗜辣客人而設的精選川菜。推薦用新鮮文昌雞炮製的鹽焗雞，肉嫩皮爽，鹹香惹味，為免撲空，建議於訂座時預留。同時供應多款生猛海鮮，豉汁蒸白鱔、豉油皇大蝦、焗奄仔蟹等應有盡有。。。
我想食麵食，你有冇邊間推介呀？,你可以考慮吓英記麵家，呢間餐廳英記於1994年開業，憑着充滿住家風味的潮式和廣東麵食而深受歡迎，經常座無虛席。招牌牛腩以牛坑腩製作，每天晚上就開始燜煮，以滷水浸泡過夜後，開店前再燜煮，是以軟腍入味。叉燒選用肥瘦分佈均勻的脢頭肉和豬頸肉焗製，吃起來肉爽且多汁。此外，亦推薦淨牛腩、叉燒湯麵和炸雲吞。。。
我想食泰國菜，你有冇邊間推介呀？,你可以考慮吓泰館，呢間餐廳和泰麵隸屬同一老闆，共享同一英文店名，連裝潢風格也十分統一：懷舊海報、木製桌椅、從天花懸垂下來的綠色植物，充滿泰國風情。但這裏的菜單更加豐富，其中泰北咖喱使用十一種香料，每天經八小時烹調而成，配以雞蛋製作的麵條，香濃可口。甜品如街頭椰子雪糕、芒果糯米飯也十分出色。餐廳僅接受八人或以上的訂座。。。
我想食天婦羅，你有冇邊間推介呀？,你可以考慮吓一宝，呢間餐廳大廚兼東主是這家餐館的第五代傳人，時令的日本海產從大阪和東京豐洲市場空運抵達，放入輕純的紅花油中以明火烹調，並配上每天鮮製的醬汁佐吃。水準多年來始終如一，除因為規模不大有助保持穩定，亦因為大廚堅持親自烹調每件天婦羅。建議點選廚師套餐，可盡嘗最時令的食材。惟座位不多，須提前訂座。。。
我想食韓國菜，你有冇邊間推介呀？,你可以考慮吓Hansik Goo，呢間餐廳搬遷後空間大增，在現代設計中藏有韓式廚房和壁爐等傳統元素。店名有「家」的寓意，盼食客來此與親友分享美食。僅提供一款品嘗菜單及少量添加菜式，以具創意的烹調手法，介紹更廣泛的韓國飲食文化。招牌菜人蔘雞燴飯升級成新版本，鮮味大大提升。餐廳搜羅了眾多韓國酒款，並設有配搭菜餚的酒單。。。
