id,question,example_1,example_2,answer
45,"請你提供這個在於香港尖沙咀的餐廳的描述: 富豪, 這是一間粵菜餐廳。",Restaurant 1: 翠亨邨 (尖沙咀) // Description: 翠亨邨早於1970年代在尖沙咀開業，菜式以傳統粵菜為主，如醬燒牛肋排、翠亨邨靚一雞及最暢銷的蜜汁叉燒；此外亦不乏順德菜式，以及注入現代元素的新創作，如黑魚子醬芒貴妃蝦球。在這裏，你可以透過大玻璃窗，欣賞廚師烹調各式佳餚的過程，視覺和味覺享受同時獲得滿足。,Restaurant 2: 蛇王熙 // Description: 蛇王熙由老店蛇王二的店長創立，選址同一街道，繼續為客人提供蛇羹、糯米飯、燒味等美食。蛇羹經過悉心改良，除了原有的雞肉、陳皮絲、木耳絲、冬菇絲等材料，更加入花膠和手切豬肉，並調整湯底的濃稠度，味道和口感均十分豐富。店內同時售賣各式臘味，其中脆皮鮮鴨膶腸特別值得一試。,雖然位於商場內不顯眼位置，富豪多年來依然屹立不倒，足證正宗而不花巧的粵菜自有引人入勝之處。掌勺二十多年的廚師一直堅持用心烹煮傳統菜式，招牌菜阿翁鮑魚採用自家調製的鮑汁燜煮近二十小時，製作需時且考功夫；薑葱煎鹽香雞和方魚炒芥蘭亦值得一試；以砂鍋烹調的富豪炒飯更是不容錯過。
46,"請你提供這個在於香港其他的餐廳的描述: Mosu, 這是一間創新菜餐廳。",Restaurant 1: 摩 // Description: 選址滿佈特色古玩小店的摩羅街，餐廳名字亦與之呼應。室內裝潢以米色為主調，並大量採用弧形設計，整體氣氛舒適和諧。料理則以黃豆為中心，廣泛使用豆瓣、腐皮、豆漿、豆豉等各種黃豆製品，糅合歐陸烹調技巧，呈現風味獨特、質感豐富的菜式。菜單隨季節變更，當中，麻婆豆腐是這裏的標誌菜式。,Restaurant 2: Vea // Description: 開放式廚房和櫃枱座位佔據餐室的主要位置，安坐此處可一睹廚師團隊揮灑自如的烹調過程。主廚採用中式及本地食材，結合現代法式烹飪技巧，展現中法聯乘的烹飪理念。他亦從自己的童年回憶和香港飲食文化獲取靈感，創作出八道菜的品嘗菜單，每道菜各有不同故事，滿載巧思。雞尾酒配搭饒富創意，值得一試。,餐室設計簡約，以灰色水泥牆面配合星光般的燈飾，落地玻璃外則是維港美景，氣氛柔和寧靜。廚師團隊以南韓人為主，主廚擁有多年法國菜經驗，曾效力於日本多間高級餐廳。多元的文化特色，加上從世界各地搜羅的食材，結合成充滿創意的菜式。菜單以套餐為主，並會不定期更新。
47,"請你提供這個在於香港灣仔的餐廳的描述: Cafe Bau, 這是一間歐陸菜餐廳。",Restaurant 1: Whey // Description: 乳清是芝士製造過程中的副產品，餐廳以「Whey」命名，表明其物盡其用、支持可持續發展的決心。來自新加坡的主廚採用本地時令食材和有機農作物，把家鄉特色融入當代歐陸菜式之中。品嘗菜單滿載新加坡風味，招牌法式麵包配黑果醬令人回味，貓山王榴槤雪糕更是主廚的自傲之作，巧妙配搭魚子醬，為味蕾帶來驚喜。,Restaurant 2: 文華扒房+酒吧 // Description: 餐室由已故名家Sir Terence Conran設計，優雅而明亮，天花上的扇形圖案呼應着酒店的標誌，充滿巧思。供應多款來自美國、澳洲和日本、以木炭燒烤的優質肉品，同時有牛肉他他、煙三文魚等經典歐陸美食。食客亦可從菜單中選取前菜和甜品配搭扒類，組合成三或四道菜的套餐。,由大廚梁經倫監督的新餐廳，以香港老照片作裝飾，佈局有如舊式小酒館，加上衣著優雅的服務員貼心接待，氣氛舒適自在。三道菜套餐走經典路線，如想嘗試以現代烹飪手法詮釋的菜品，不妨選擇八道菜套餐。菜式中大量採用本地食材，例如來自流浮山的蠔、本地蔬果和醬料等。客人可在吧檯用餐，品嘗特調的雞尾酒。
48,"請你提供這個在於香港西環的餐廳的描述: 書湘門第 (西環), 這是一間湘菜餐廳。",,,廚師團隊來自湖南，廚藝基礎扎實，出品風味正宗，尤其炒煮菜式鑊氣十足。大部分食材同樣由湖南進口，例如從農戶採購而來的煙燻臘肉和各種辣椒。推介菜式包括經四個工序以十小時製作的霸王肘子，還有攸縣香乾炒肉、乾鍋有機花菜等。部分食物設不同辣度，即使不能吃辣也能享用美食。
49,"請你提供這個在於香港其他的餐廳的描述: 天外天, 這是一間粵菜餐廳。",Restaurant 1: 新同樂 // Description: 廚師團隊經驗豐富，加上選材嚴謹、用料新鮮，俘獲一眾食客的味蕾。除了經典招牌菜百花脆皮乳豬件，鮮蘑菇焗釀蟹蓋、燒汁乾煏牛肋骨也值得一試。提供多款套餐，當中包括以進口食材糅合獨特創意的廚師推介美食。部分菜餚可按人數調整分量，靈活貼心。點心菜單恆常更換，新鮮感十足。,Restaurant 2: 口利福 // Description: 餐廳裝潢風格大膽：以麻將和招財貓點綴牆身，地庫掛有中西合璧的藝術品，加上背景響起的八十年代金曲，整室洋溢着熱鬧氣氛。菜單囊括傳統廣東菜及創意菜式，主廚巧妙地在經典菜餚中施以細微變化，令口味提升，例如用上沙薑製成的薑蓉來配搭脆皮三黃雞。部分菜式需提前預訂。,坐落酒店頂層，天外天的室內設計出自名師手筆，既時尚又典雅；臨窗座位把維港醉人景致盡收眼底，更是叫人讚歎不已。菜單上的廣東菜式琳瑯滿目，而午市點心則富有創意，如阿拉斯加長腳蟹餃和蟲草花南澳帶子腸粉等，將進口高級食材與傳統特色融合，教人耳目一新。單人套餐設有素食選擇，充分照顧不同食客需要。
50,"請你提供這個在於香港中環的餐廳的描述: 星記, 這是一間粵菜餐廳。",Restaurant 1: 龍景軒 // Description: 坐擁維港美景，餐廳從世界各地搜羅優質食材，為傳統粵菜注入不一樣的元素，加上出色的烹調手法，令其一直深受粵菜愛好者歡迎。除了主菜單，亦因應時令供應當季菜式。各款燉湯用料豐富，不容錯過；若於午市到訪，不妨試試精美的點心。侍酒師會為客人提供餐酒建議，不嗜酒的朋友也不乏茶品選擇，當中包括有機凍汽茶。,Restaurant 2: 太湖海鮮城 // Description: 太湖於八十年代開業，一直是區內馳名的酒家。其後遷到更舒適的現址後，食物質素依然維持一貫的高水準，加上價格實惠，難怪每天有逾千食客光顧。餐館精於烹調海鮮菜式，更設有不同時令海鮮優惠，讓食客能大飽口福；其廣東小菜亦值得細味，芝麻鹽焗雞、薑米鮮魚炒飯等都是招牌菜。,星記是中環區難得一見的粵式小菜館，以扎實的烹調技巧及新鮮食材見稱。以大廚名字命名的輝哥煎咸雞肉質嫩滑又惹味，值得一試。金榜醬戈巴焗大花蝦則鮮味十足，咸香的醬汁更可沾鍋巴來吃，十分香口。另建議預訂燉湯如杏汁花膠燉豬肺。餐廳於午市提供一系列價格實惠的小菜，甚受上班族歡迎。
51,"請你提供這個在於香港尖沙咀的餐廳的描述: 翠亨邨 (尖沙咀), 這是一間粵菜餐廳。",Restaurant 1: 家全七福 (灣仔) // Description: 環境富麗堂皇，名稱則包含了東主父親的名字及其在兄弟中的排序，也有傳承父親廚藝之意。東主自十四歲跟隨父親習廚，以烹調高級功夫粵菜為長。其中，花膠燴雞絲羹用料豐富，令人齒頰留香。招牌菜大紅片皮乳豬以炭火烤製，油香四溢。菜單上亦有不少傳統菜式，如雞子戈渣、陳皮蒸牛肉餅等，皆值得一試。,Restaurant 2: 天外天 // Description: 坐落酒店頂層，天外天的室內設計出自名師手筆，既時尚又典雅；臨窗座位把維港醉人景致盡收眼底，更是叫人讚歎不已。菜單上的廣東菜式琳瑯滿目，而午市點心則富有創意，如阿拉斯加長腳蟹餃和蟲草花南澳帶子腸粉等，將進口高級食材與傳統特色融合，教人耳目一新。單人套餐設有素食選擇，充分照顧不同食客需要。,翠亨邨早於1970年代在尖沙咀開業，菜式以傳統粵菜為主，如醬燒牛肋排、翠亨邨靚一雞及最暢銷的蜜汁叉燒；此外亦不乏順德菜式，以及注入現代元素的新創作，如黑魚子醬芒貴妃蝦球。在這裏，你可以透過大玻璃窗，欣賞廚師烹調各式佳餚的過程，視覺和味覺享受同時獲得滿足。
52,"請你提供這個在於香港灣仔的餐廳的描述: Brass Spoon (Wan Chai), 這是一間越南菜餐廳。",Restaurant 1: Mâm Amis // Description: 牆上的越南風景畫，加上復古吊燈和藤編椅子，令人彷彿置身在越南的老房子。廚師團隊也來自當地，菜式風味地道，包括具特色的碳烤和湯粉，亦有提供素食菜式。推薦碳烤河蝦，選用彈嫩鮮甜的越南蝦，烤得焦香四溢。湯粉品種多樣，湯底滋味且分量充足。咖喱辣蟹和越南烤豬適合多人分享，但須提前預訂。,Restaurant 2: Sếp // Description: 由經驗豐富的主廚掌舵，提供現代越南法殖菜式。他曾在越南旅居七年，對當地的柴火烹飪文化深深着迷，因此特別在店內的開放式廚房設置柴火烤爐。兩款套餐均糅合法式烹調技巧和優質食材，例如使用乾式熟成三黃雞的會安脆皮雞，還有採用黑安格斯牛肉的順化牛肉粉等。套餐外更設額外菜式，適合共享。,這小小的麵店選址於寧靜的街區上，供應的是地道的越式河粉。於法國習廚的主廚兼店東注重細節，湯底以牛小腿骨熬煮逾十六小時而成，味道濃郁。設不同級別的美國牛肉供選擇，也可添加牛筋、牛柏葉、牛丸和扎肉等配料。菜單也有各種越式小食，如春卷和蒸粉卷等。小店頗受歡迎，要有排隊的準備。
53,"請你提供這個在於香港中環的餐廳的描述: 嘗申滙, 這是一間滬菜餐廳。",Restaurant 1: 鼎泰豐 (尖沙咀) // Description: 這家小籠包店於1958年在台灣創立，其分店至今遍佈多個亞洲城市。主打的上海小籠包以人手製作，材料新鮮，餡料充足，配以無色素及防腐劑的台灣米醋佐吃，美味非常。品牌特別注重品質及服務，也重視客人反饋，確保食物水準穩定。餐廳設多種座席，不論一人用膳或多人聚餐，均能照顧周到。,Restaurant 2: 詠藜園 // Description: 楊氏家族早年於新蒲崗創立餐廳，後遷至現址，餐室採傳統中式風格，寬敞明亮，並設私人廂房。食物方面，提供多款價廉物美的川滬美食，招牌菜為四川擔擔麵，既提供傳統口味，還有加入肉碎的改良版本，兩者均可配辣或不辣的湯底。另外，水煮桂花魚選用原條鮮魚製作，適合多人共享，值得品嘗。,位於商業大廈頂樓，餐廳共佔三層空間，客人先乘電梯到43樓，再由接待員安排入座。佈置以綠色絲絨為主，格調高雅，透過落地玻璃可俯瞰維港景色。主要提供上海和江浙佳餚，菜單羅列多款經典菜式，例如手撕四喜烤麩、龍鬚桂魚、香煎八寶飯，以及招牌菜桂花蜜汁火方。午市提供套餐，方便商務宴請。
54,"請你提供這個在於香港佐敦的餐廳的描述: 逸東軒, 這是一間粵菜餐廳。",Restaurant 1: 彭慶記 // Description: 彭慶記開業至今已跨越廿多個年頭，現由第二代接手經營，依舊以懷舊手工粵菜作招徠，傳承經典滋味傳承。除了招牌生炒糯米飯及太史五蛇羹，加入臘腸的缽仔焗魚腸亦值得一試，油香以外還有淡淡的玫瑰露香氣，令人印象深刻。限量的薑葱魚鏢煲採用大魚下巴烹煮，也是不可錯過的菜式。座位數量不多，建議提前訂座。,Restaurant 2: 天外天 // Description: 坐落酒店頂層，天外天的室內設計出自名師手筆，既時尚又典雅；臨窗座位把維港醉人景致盡收眼底，更是叫人讚歎不已。菜單上的廣東菜式琳瑯滿目，而午市點心則富有創意，如阿拉斯加長腳蟹餃和蟲草花南澳帶子腸粉等，將進口高級食材與傳統特色融合，教人耳目一新。單人套餐設有素食選擇，充分照顧不同食客需要。,裝潢設計簡約，深色木材配上富情調的燈光，異於傳統中菜廳格調，反展現年輕型格。自1990年開業至今，廚師團隊一直為食客烹調傳統而精緻的粵菜，沒花巧噱頭卻以扎實的烹調功夫盡顯四時食材的鮮味。點心、燒味、小菜和老火湯均深得食客歡迎，不少人更愛於廂房以鮑魚燕窩套餐設宴款客。
55,"請你提供這個在於香港銅鑼灣的餐廳的描述: 農圃, 這是一間粵菜餐廳。",Restaurant 1: 麗晶軒 // Description: 所在的酒店完成翻新，欣圖軒於2022年底改名為「麗晶軒」，並將入口遷回酒店大堂。裝潢以玉石為主題，精緻華美，遠眺窗外，更能細賞維港及香港島的美景。廚師團隊經驗豐富，他們以扎實技巧和上乘食材，製作出一道道傳統粵式佳餚。除了脆皮龍崗雞、脆釀鮮蟹蓋等經典菜式，午市點心同樣值得一試。,Restaurant 2: 潤 // Description: 有別於一般粵菜餐廳，室內設計呈現歐陸風格，既舒適又優雅。主廚洪志光師傅以傳統粵菜烹調技巧，配合環球優質食材製作佳餚，口味亦會隨時令變化。菜單中不乏創新、精緻的菜式，例如薑蔥蝦乾焗鮮蟹鉗伴千層造型精緻，鮮味十足。同時提供素食及無麩質套餐。侍酒師和茶師均服務專業，令用餐體驗錦上添花。,餐廳裝潢時尚，巨型水族箱延伸整道牆，引人注目。菜單以傳統手工菜為主，選用各式高級海味乾貨入饌，包括鮑魚、海參等處理工序繁複的食材，所炮製的優質粵菜一直深受客人愛戴。著名菜式包括古法糯米雞翼、鵝肝焗釀響螺和瑤柱鮑魚雞粒飯，皆值得一試。配合細心周到的服務團隊，令用餐體驗更稱心滿意。
56,"請你提供這個在於香港中環的餐廳的描述: 文華扒房+酒吧, 這是一間歐陸菜餐廳。",Restaurant 1: Whey // Description: 乳清是芝士製造過程中的副產品，餐廳以「Whey」命名，表明其物盡其用、支持可持續發展的決心。來自新加坡的主廚採用本地時令食材和有機農作物，把家鄉特色融入當代歐陸菜式之中。品嘗菜單滿載新加坡風味，招牌法式麵包配黑果醬令人回味，貓山王榴槤雪糕更是主廚的自傲之作，巧妙配搭魚子醬，為味蕾帶來驚喜。,Restaurant 2: Cafe Bau // Description: 由大廚梁經倫監督的新餐廳，以香港老照片作裝飾，佈局有如舊式小酒館，加上衣著優雅的服務員貼心接待，氣氛舒適自在。三道菜套餐走經典路線，如想嘗試以現代烹飪手法詮釋的菜品，不妨選擇八道菜套餐。菜式中大量採用本地食材，例如來自流浮山的蠔、本地蔬果和醬料等。客人可在吧檯用餐，品嘗特調的雞尾酒。,餐室由已故名家Sir Terence Conran設計，優雅而明亮，天花上的扇形圖案呼應着酒店的標誌，充滿巧思。供應多款來自美國、澳洲和日本、以木炭燒烤的優質肉品，同時有牛肉他他、煙三文魚等經典歐陸美食。食客亦可從菜單中選取前菜和甜品配搭扒類，組合成三或四道菜的套餐。
57,"請你提供這個在於香港中環的餐廳的描述: Ryota Kappou Modern, 這是一間日本菜餐廳。",Restaurant 1: Godenya // Description: 位置隱蔽，須由The Wellington旁的樓梯往上走進內街方可到達。其門面和內部設計同樣簡潔，設有以百年樹齡的柏木製成的六人長桌，亦備有包廂。提供割烹風格的主廚發辦套餐，食材九成來自日本，菜單和食材均能反映當季獨有風味。廚師熟知日本清酒的特色，會按菜式調整酒品的溫度，以突出其風味。,Restaurant 2: 割烹凜 // Description: 由銀座名店吉武壽司與本地的志魂聯手創立，呈現輕鬆而獨特的割烹料理體驗。日籍主廚來自仙台，擅於以獨特的調味配合優質食材，表達濃厚的味道。他透過每季節變更的廚師發辦套餐，展示對日本海陸產物的珍視，不論生食或熟食，均突顯材料的自然風味。不妨配搭日本清酒佐餐。惟座位有限，建議提早訂座。,老闆兼主廚以豐富經驗和當季的上乘食材，製作割烹風格的日式美食，菜單更會隨季節更新。其中晚市套餐包括餐廳自家代理的清酒，讓客人以美酒配佳餚。建議坐在圍繞開放式廚房的板前位置，好好欣賞廚師功架。餐室被落地玻璃圍繞，加上名家設計的傢具和陶瓷餐具，提供了獨特的視覺享受。
58,"請你提供這個在於香港灣仔的餐廳的描述: 福臨門 (灣仔), 這是一間粵菜餐廳。",Restaurant 1: 潤 // Description: 有別於一般粵菜餐廳，室內設計呈現歐陸風格，既舒適又優雅。主廚洪志光師傅以傳統粵菜烹調技巧，配合環球優質食材製作佳餚，口味亦會隨時令變化。菜單中不乏創新、精緻的菜式，例如薑蔥蝦乾焗鮮蟹鉗伴千層造型精緻，鮮味十足。同時提供素食及無麩質套餐。侍酒師和茶師均服務專業，令用餐體驗錦上添花。,Restaurant 2: 蛇王良 // Description: 小店開業超過二十年，一年四季皆供應蛇羹，更設多款經濟實惠的套餐。招牌蛇羹除了雞絲、木耳絲等材料，曾修讀中醫課程的店東會因應氣候，以藥材配搭蛇肉，達到補而不燥的效果。此外提供多款蛇酒、龜板湯及滋補燉湯，以珍貴藥材入饌的燉湯須提前預訂。冬天更提供期間限定的羊腩和臘味糯米飯。,開業七十多年，福臨門一直是城中具標誌性的酒家之一。能夠保持水準，全因秉承父輩烹調粵菜的傳統手法，再配合優質食材，例如每天進貨的海產，確保新鮮味美。無論是午市的粵式點心，或是各種傳統菜餚，均十分出色。特別推介招牌菜釀焗鮮蟹蓋、炸子雞。時令菜單全年供應，部分菜式需預訂，建議致電查詢。
59,"請你提供這個在於香港旺角的餐廳的描述: 明閣 (旺角), 這是一間粵菜餐廳。",Restaurant 1: 潤 // Description: 有別於一般粵菜餐廳，室內設計呈現歐陸風格，既舒適又優雅。主廚洪志光師傅以傳統粵菜烹調技巧，配合環球優質食材製作佳餚，口味亦會隨時令變化。菜單中不乏創新、精緻的菜式，例如薑蔥蝦乾焗鮮蟹鉗伴千層造型精緻，鮮味十足。同時提供素食及無麩質套餐。侍酒師和茶師均服務專業，令用餐體驗錦上添花。,Restaurant 2: 彭慶記 // Description: 彭慶記開業至今已跨越廿多個年頭，現由第二代接手經營，依舊以懷舊手工粵菜作招徠，傳承經典滋味傳承。除了招牌生炒糯米飯及太史五蛇羹，加入臘腸的缽仔焗魚腸亦值得一試，油香以外還有淡淡的玫瑰露香氣，令人印象深刻。限量的薑葱魚鏢煲採用大魚下巴烹煮，也是不可錯過的菜式。座位數量不多，建議提前訂座。,餐室飾以各類青銅器皿，加上門外庫存豐富的玻璃酒窖，環境優美高雅。具二十多年入廚經驗的李師傅由開業效力至今，其招牌菜遠年陳皮和牛面頰、蜜汁叉燒及酥炸釀鮮蟹蓋等均不容錯過。點心以各地進口的食材炮製，例如蝦餃用上藍天使蝦，叫人耳目一新。嗜酒之人不妨請侍酒師協助挑選佳釀佐餐。
60,"請你提供這個在於香港中環的餐廳的描述: 8 1/2 Otto e Mezzo - Bombana, 這是一間意大利菜餐廳。",Restaurant 1: Octavium // Description: 優雅的意大利傢具、妝點牆身的挪威樹皮、簡約的設計，都令人放鬆心情。菜單同樣呈現極簡主義：來自西西里島的新任主廚，選用日本新鮮食材，並把家鄉特色融入醬料之中。菜單包括多款海鮮及肉類，手工意粉更是不容錯過，尤其推薦招牌菜紅蝦意麵。如欲有完整的用餐體驗，不妨選擇六或八道菜的品嘗菜單。,Restaurant 2: Little Napoli // Description: 老闆來自意大利拿坡里，食材均由其家鄉進口。薄餅即點即製，亦依照當地傳統，製成13吋大小，並放入由意大利進口的石窯以400度高溫烤烘，成品餅皮香脆，餡料多汁美味，其中以Margherita和微辣的Vesuviana口味較受歡迎。同時供應炸意式餡餅、焗意式三文治等美食。只設少量座位，若計劃於店內用餐，建議提早前往。,店東兼主廚Umberto Bombana除了熱衷烹飪，也對電影充滿熱情，因此餐廳以意大利著名導演費里尼的作品《八部半》命名。食物亦處處展露意國魅力，菜單羅列多款經典意大利美食，包括不容錯過的手製意粉，以及因應時令而設計的限定菜式。色、香、味俱全的佳餚，加上無懈可擊的服務，令人難以忘懷。
61,"請你提供這個在於香港中環的餐廳的描述: Prince and the Peacock, 這是一間印度菜餐廳。",Restaurant 1: New Punjab Club // Description: 餐廳供應北印度美食，客人會找到眾多以土窯爐烤製的佳餚，例如小食窯烤蛋，選用日本雞蛋搭配海螯蝦，蛋香濃郁，味道豐富。招牌菜則有以本地三黃雞烹調的Murgh Methi Tikka。菜式分量較大，不妨呼朋喚友共享，同時品嘗多款以氈酒調配的雞尾酒。服務令人感到賓至如歸。建議於網上訂座。,Restaurant 2: Chaat // Description: 名字在印地語中解作「舔」，寓意客人把桌上的食物一掃而空。新上任的主廚繼續製作印度各地的經典菜式，推介以土窯爐烹製的黑胡椒烤雞，配上特色雞尾酒和招牌飲品，全面體驗印度風情。名為Masala Room的玻璃房內擺滿香料，令人眼界大開。餐廳坐擁無敵海景及戶外陽台，並飾以印度藝術家創作的壁畫，視覺味覺皆得到滿足。,餐廳由大廚Palash Mitra主理，店名象徵皇室與權力。菜式靈感來自印度皇家廚房，涵蓋從南到北的地方美食。Nalli Gosht Biryani採用熟成印度香米，與肉味濃郁的羊膝和羊小排一同烹煮，配搭薄荷碎和乳酪，碰撞出煥然一新的滋味。裝潢以印度地毯、花卉擺設等帶出異國情調，且不失尊貴品味。
62,"請你提供這個在於香港旺角的餐廳的描述: 頤東, 這是一間順德菜餐廳。",Restaurant 1: 鳳城 (北角) // Description: 作為香港著名的順德菜館，仍保留傳統茶樓的龍鳳禮堂，吸引不少外地客人前來感受舊時風味。早午市供應點心和小菜，推薦皮脆肉嫩的招牌炸子雞，還有每次一出場就被搶空的沙翁，但只在週末供應。傳統菜式選擇豐富，而且分量十足，建議與親朋好友一同分享。部分菜式須預訂，不妨預早查詢。,Restaurant 2: 彤福軒 // Description: 以現代順德菜為主，如生拆鮮魚羹、魚塘公煎焗魚嘴。餐廳對食材非常講究，使用本地優質材料，包括海釣船的海鮮、本地農場的蔬菜和香料，就連竹蒸籠，也是本地老店的出品。不妨一邊享用美食，一邊欣賞維多利亞港景色。但要注意晚餐時段設有服裝要求，最好預先查詢。,前旺角鳳城酒家於2019年因東主退休而結業，後由新老闆接手，並改名為「頤東」重新開業。餐廳內部經過翻新，用餐環境舒適。新東主沿用大部分舊有廚房班底，延續傳統順德菜手藝。招牌菜鴻運乳豬、炸子雞和蝦多士等依舊美味。大良炒鮮奶口感順滑、充滿奶香；順德魚肚羹則用料十足，充滿傳統風味。
63,"請你提供這個在於香港西貢的餐廳的描述: 六福菜館, 這是一間海鮮餐廳。",Restaurant 1: 避風塘興記 // Description: 歷經三代，原址在銅鑼灣，其後才遷到尖沙咀現址，這家由祖父輩創辦的餐廳一直以避風塘特色小菜為賣點。廚房由弟弟掌舵，大家姐則負責領導服務團隊。海鮮每天新鮮進貨，供應有限，不妨於訂座時預留，招牌菜包括避風塘炒蟹、燒鴨湯河及艇仔粥，前者更可選擇不同辣度。座位不多，食客須到齊方能入座。,Restaurant 2: 容龍 // Description: 容龍在本區可謂赫赫有名，裝修後換上更時尚的佈置，新增更多私人廂房，滿足注重私人空間的食客，其中兩間更坐擁海畔美景。為數不少的客人會自攜海鮮加工，個別更不看主菜牌，直接從海鮮單上挑選食物。招牌菜包括芝士焗開邊龍蝦與砵酒焗生蠔；日間則有點心供應。,菜館藏身於西貢海鮮餐廳一帶的後街，佔地三層，門口未見一般海鮮餐館常設的大魚缸，僅以出色的烹調技巧吸引食客。以生猛海鮮炮製的小菜選料上乘，每一口都散發着鮮味。金湯魚蓉羹、椒鹽瀨尿蝦和鹽水蒸西貢魚仔是必吃菜式，傳統粵式小菜如椒鹽奇脆豆腐也值得一試。惟部分海鮮需預留，建議提早查詢。
64,"請你提供這個在於香港佐敦的餐廳的描述: 方太糕品舖, 這是一間街頭小吃餐廳。",Restaurant 1: 強記美食 // Description: 小店於2021年由路邊攤搬至此舖位，用餐環境比以前更舒適。馳名的臘味糯米飯依舊料豐味美，煎蝦米腸粉、花生旺菜豬骨粥等小食的味道亦不亞從前，菜單選擇更豐富。,Restaurant 2: 廟街牛什 // Description: 小店開業多年，深受街坊歡迎。牛什包括牛肚、牛腸、牛膀和牛肺，可單點或選雜錦口味，亦設不同份量。每款牛什皆吸收了濃郁的湯汁，配搭甜醬、芥辣或辣椒醬，各有風味。,於2022年遷到廟街，繼續提供每天人手蒸製的中式糕點，包括缽仔糕、白糖糕等。其配方用糖量較少，質感軟彈，味道層次分明，其中又以芝麻卷的味道特別濃郁。
65,"請你提供這個在於香港中環的餐廳的描述: 割烹凜, 這是一間日本菜餐廳。",Restaurant 1: 長本 // Description: 告別柏屋後，大廚長本先生在原址另闢新店，並以全新面貌迎接客人：主餐室的吧檯由深棕色樹幹製成，安坐於此可以欣賞到主廚在席前準備菜餚。供應單一菜單，以最鮮美的當季食材製成懷石料理，從頭盤到甜品，處處顯露主廚對食材的透徹了解。服務員更會於席間介紹菜式由來和相關日本風俗，十分有趣。,Restaurant 2: Godenya // Description: 位置隱蔽，須由The Wellington旁的樓梯往上走進內街方可到達。其門面和內部設計同樣簡潔，設有以百年樹齡的柏木製成的六人長桌，亦備有包廂。提供割烹風格的主廚發辦套餐，食材九成來自日本，菜單和食材均能反映當季獨有風味。廚師熟知日本清酒的特色，會按菜式調整酒品的溫度，以突出其風味。,由銀座名店吉武壽司與本地的志魂聯手創立，呈現輕鬆而獨特的割烹料理體驗。日籍主廚來自仙台，擅於以獨特的調味配合優質食材，表達濃厚的味道。他透過每季節變更的廚師發辦套餐，展示對日本海陸產物的珍視，不論生食或熟食，均突顯材料的自然風味。不妨配搭日本清酒佐餐。惟座位有限，建議提早訂座。
