id,question,example_1,example_2,answer
88,"請你提供這個在於香港深水埗的餐廳的描述: 文記車仔麵, 這是一間街頭小吃餐廳。",Restaurant 1: 浩記甜品 (土瓜灣) // Description: 浩記屹立於旺角逾三十年，於2020年遷入現址，繼續提供價格相宜且具水準的傳統中式糖水，生磨芝麻糊、合桃糊、薑汁湯丸等一應俱全。,Restaurant 2: 強記美食 // Description: 小店於2021年由路邊攤搬至此舖位，用餐環境比以前更舒適。馳名的臘味糯米飯依舊料豐味美，煎蝦米腸粉、花生旺菜豬骨粥等小食的味道亦不亞從前，菜單選擇更豐富。,配料多樣的車仔麵，推介自製韭菜餃及瑞士雞中翼，另有蘿蔔、牛肚、豬手等配料任君選擇，佐以秘製辣汁同吃更添滋味。
89,"請你提供這個在於香港銅鑼灣的餐廳的描述: 莆田 (銅鑼灣), 這是一間閩菜餐廳。",,,2000年在新加坡開業，後擴展至香港，老闆以其家鄉福建內的城市為餐廳命名，堅守忠於原味、鮮味自然的原則，做出一道道佳餚。餐廳除了不時為主菜單添加新菜式，亦會按季節推出以蟶子、海蠣等時令海產製作的美食，保持新鮮感。推介菜式包括燜黃花魚、九轉小腸、炒芋頭，自家秘製的辣椒醬更是非試不可。
90,"請你提供這個在於香港灣仔的餐廳的描述: 甘牌燒鵝, 這是一間燒味餐廳。",Restaurant 1: 一樂燒鵝 (中環) // Description: 早於1957年開業，鎮店招牌脆皮燒鵝油光亮澤，乃根據老闆朱先生的家族秘方醃製，在自設工場經二十多道工序燒烤，色香味俱佳。每次只出爐十隻，因此得靠點運氣才可嘗到特定部位。一人獨享的話，建議點選四分一隻燒鵝，配搭鵝油清湯瀨粉。其他燒味均以炭爐燒烤，不要錯過化皮燒腩仔和蜜汁叉燒。,Restaurant 2: 天鴻燒鵝 // Description: 餐廳於2001年開業，憑着味美的燒味和合理價格深受街坊愛戴。招牌燒鵝採用每天由佛山養殖場直送到店的黑棕鵝，分批即醃即燒，確保新鮮，高峰期每日售出近百隻。此外，蜜汁叉燒、燒鴨、花雕醉雞和滷水等亦值得一試；店家更出售自製的清熱五花茶。堂食座位有限，燒味售罄更會提早關門，宜提早前往。,祖父輩創業至今逾七十年，店舖深受食客喜愛，門前常見人龍。櫥窗前掛滿色澤油亮的傳統廣式燒味，以家傳秘方炮製的甘氏燒鵝為鎮店之寶。此外，燒乳豬、鵝掌、鵝肝等滷水食品和入口即化的鵝紅亦不容錯過；佐以鵝油製作的太子撈麵香氣四溢，教人欲罷不能。菜式琳瑯滿目，如果想多嘗幾款，建議偕親友共往。
91,"請你提供這個在於香港中環的餐廳的描述: Plaisance by Mauro Colagreco, 這是一間法國菜餐廳。",Restaurant 1: Cristal Room by Anne-Sophie Pic // Description: 法籍主廚Anne-Sophie Pic於亞洲開設的第二家餐廳，室內裝潢高雅華麗，入口處的水晶吊燈宏偉而閃亮，引人注目。開放式廚房加上鑲設鏡面的天花，大大提升空間感。晚市提供六或八道菜的套餐，當中包括主廚的首本名菜，取用日本食材並且融合當地元素，創造出豐富細膩的味道。此外，客人可在甜品區享用美味茶點。,Restaurant 2: Belon // Description: 搬遷後一改以往的小酒館風格，裝潢更加亮麗高檔。主廚擅於以法式烹調技巧料理本地時令食材，他不僅重新構思餐廳的經典菜餚，更推出多款全新菜式。廚房前設四人吧檯座位，讓食客一邊欣賞烹調過程，一邊享用包含餐酒配搭的精選四人菜單，惟須預約。單點菜單則提供烤全雞等招牌菜，適合多人分享。,餐廳以海洋為概念，室內設計採用藍綠色調，配合銀光閃閃的魚形裝飾，奪目耀眼。餐宴以取自主廚祖母食譜的麵包打開序幕，佐以橄欖油倍添滋味。主菜單以海鮮為主，採用本地蔬菜和世界各地的時令食材，融合法式手法烹調。休息室在星期一至五提供現場音樂表演，不妨先在這裏小酌一番。
92,"請你提供這個在於香港西營盤的餐廳的描述: 生記滷味 (西環), 這是一間街頭小吃餐廳。",Restaurant 1: 時代豆業 // Description: 小店開業廿多年，主售中式糕點餅食，如傳統的缽仔糕、紅豆糕、芝麻卷、茶果，或較新式的糯米糍和斑蘭糕等，款式多樣，各有特色。,Restaurant 2: 強記美食 // Description: 小店於2021年由路邊攤搬至此舖位，用餐環境比以前更舒適。馳名的臘味糯米飯依舊料豐味美，煎蝦米腸粉、花生旺菜豬骨粥等小食的味道亦不亞從前，菜單選擇更豐富。,這潮州滷水店於1998年開業，選用來自潮州的穀飼獅頭鵝，陳年滷水則加了十數種香料，醇厚甘香。店家每日放入掌、翼、肝、腸、腎等部位慢火浸透入味。其中招牌鵝肉肉質緊緻，肉香十足。
93,"請你提供這個在於香港中環的餐廳的描述: 永, 這是一間創新菜餐廳。",Restaurant 1: Vea // Description: 開放式廚房和櫃枱座位佔據餐室的主要位置，安坐此處可一睹廚師團隊揮灑自如的烹調過程。主廚採用中式及本地食材，結合現代法式烹飪技巧，展現中法聯乘的烹飪理念。他亦從自己的童年回憶和香港飲食文化獲取靈感，創作出八道菜的品嘗菜單，每道菜各有不同故事，滿載巧思。雞尾酒配搭饒富創意，值得一試。,Restaurant 2: Mosu // Description: 餐室設計簡約，以灰色水泥牆面配合星光般的燈飾，落地玻璃外則是維港美景，氣氛柔和寧靜。廚師團隊以南韓人為主，主廚擁有多年法國菜經驗，曾效力於日本多間高級餐廳。多元的文化特色，加上從世界各地搜羅的食材，結合成充滿創意的菜式。菜單以套餐為主，並會不定期更新。,採主廚名字其中一字的中、英文拼湊成餐廳標誌，正反映其中、西交融的核心概念。套餐運用了大量本地及中式食材，以歐陸式烹調手法呈現中菜精髓。當中不乏創新配搭，也有經重新演繹的主廚經典創作。餐廳於每晚零時零分開放一個月後新一天的訂座，若想一試主廚手藝，務必準時登入網頁預約。
94,"請你提供這個在於香港尖沙咀的餐廳的描述: 天龍軒, 這是一間粵菜餐廳。",Restaurant 1: 大圍小館 (大圍) // Description: 門外一串串紅燈籠、室內一户户桃木窗框和一幅幅屏風，與餐廳供應的傳統粵菜相映成趣。午市時段以供應點心為主，多款坊間少見的經典點心，如鴛鴦臘腸卷、香煎糯米雞等仍能在此品嘗得到。晚市供應的粵式小菜款式多、分量足，菜式名字趣緻，如麻甩吊桶仔，以新鮮雞隻烹調的雞餚值得一試。,Restaurant 2: 麗晶軒 // Description: 所在的酒店完成翻新，欣圖軒於2022年底改名為「麗晶軒」，並將入口遷回酒店大堂。裝潢以玉石為主題，精緻華美，遠眺窗外，更能細賞維港及香港島的美景。廚師團隊經驗豐富，他們以扎實技巧和上乘食材，製作出一道道傳統粵式佳餚。除了脆皮龍崗雞、脆釀鮮蟹蓋等經典菜式，午市點心同樣值得一試。,高踞全港最高大樓的102樓，這間粵菜餐館以天龍為名，不論位置與佈局都極具氣派。裝潢以紅木為主，樓高兩層的落地玻璃窗不但令餐廳光線充沛，更把維港的醉人景色盡收眼底；殷勤的服務人員讓你倍感親切。菜單着重傳統菜式，值得一試的有原個椰皇花膠燉雞，以及需提前預訂的蜜燒西班牙黑豚肉叉燒。
95,"請你提供這個在於香港筲箕灣的餐廳的描述: 一家, 這是一間滬菜餐廳。",Restaurant 1: 嘗申滙 // Description: 位於商業大廈頂樓，餐廳共佔三層空間，客人先乘電梯到43樓，再由接待員安排入座。佈置以綠色絲絨為主，格調高雅，透過落地玻璃可俯瞰維港景色。主要提供上海和江浙佳餚，菜單羅列多款經典菜式，例如手撕四喜烤麩、龍鬚桂魚、香煎八寶飯，以及招牌菜桂花蜜汁火方。午市提供套餐，方便商務宴請。,Restaurant 2: 蘇浙滙 (灣仔) // Description: 作為上海著名餐飲集團的首家香港分店，餐廳的裝潢雅致，特高樓底配上引人注目的吊燈，別具氣派。廚師團隊注重選料，從內地搜羅優質食材，以時尚手法演繹傳統上海菜式及點心。其中小籠包外皮透薄而湯汁豐富，不容錯過。此外，季節菜單也羅列不少富地方色彩的菜餚。,室內設計採用復古風格，色彩鮮豔，加上霓虹燈裝飾，氣氛活潑，充滿新鮮感。菜單同時提供滬菜和川菜，當中包括七里莊酒糟醉雞、紅油抄手、水煮魚片等傳統美食，也有結合傳統和創新的菜式，例如即叫即製的高力芒果奶黃，以及多款名字有趣的特色飲品。午市、晚市均提供價格相宜的套餐。
96,"請你提供這個在於香港中環的餐廳的描述: Feuille, 這是一間法國菜餐廳。",Restaurant 1: Ami // Description: 餐廳糅合美食與小酒館，菜單上可找到手切牛肉他他、即叫即焗的梳乎厘等經典法國菜式。現任年輕主廚來自法國南部，為這裏的菜餚注入更多新意。如果想有更完整的餐飲體驗，不妨選擇季節品嘗菜單。供應超過四百款蘇格蘭、日本等地的稀有威士忌，讓客人暢享美饌和佳釀。天氣晴朗的日子，到露台位置用餐更感悠閒寫意。,Restaurant 2: 珀翠 // Description: 璀璨奪目的水晶吊燈、高貴的絨布簾幕與一絲不苟的餐桌佈置，讓餐廳披上了奢華的巴黎沙龍外觀，窗外美不勝收的海景更是錦上添花。餐單上供應的是經典法國菜，廚師團隊搜羅來自法國及全球各地的名貴材料，並以出色的技巧演繹。酒窖內的佳釀多不勝數，包括多個自1928年起產自珀翠酒莊的年份葡萄酒。,法國主廚David Toutain首間在海外開設的餐廳，名字取自法文的「葉子」。採用本地生產及有機農場的食材，結合法式烹飪手法，炮製出蔬菜為主的時令美饌。品嘗菜單以植物的生命週期為主題，分為「穀物和種子」、「根莖葉」、「花和水果」及「起源」四個部分，小茴香雞蛋甜粟米、Feuille麵包和炭燒龍蝦等均值得期待。
97,"請你提供這個在於香港佐敦的餐廳的描述: 西關老袓, 這是一間街頭小吃餐廳。",Restaurant 1: 魚蛋佬 (土瓜灣) // Description: 主打魚蛋、燒賣、腸粉等地道小食，價格親民。招牌白魚蛋每日限量供應，以恰好比例混合多種海魚和麵粉製成，既爽口彈牙，又帶魚肉鮮味。建議以辣椒油佐吃，更為惹味。,Restaurant 2: 浩記甜品 (土瓜灣) // Description: 浩記屹立於旺角逾三十年，於2020年遷入現址，繼續提供價格相宜且具水準的傳統中式糖水，生磨芝麻糊、合桃糊、薑汁湯丸等一應俱全。,供應多款特色小食，兼具懷舊與創意，而且即點即製。推介西關瀨粉配黑毛豬油渣，自製的瀨粉口感軟糯，豬油渣則酥脆香濃。炸黑毛豬肉粽、爆炒XO醬蘿蔔糕也是必吃之選。
98,"請你提供這個在於香港中環的餐廳的描述: Arbor, 這是一間創新菜餐廳。",Restaurant 1: 旅 // Description: 日籍大廚佐藤秀明將「純粹、簡約、時令」奉為其烹調信條，同時樂於嘗試不同的烹調技巧及食材配搭。其創作糅合了法式烹調手法和來自日本的時令頂級食材，菜式的質感和味道皆別樹一幟，滋味非凡。從每天新鮮製作的發酵奶油及酸種麵包，以至配搭的亞洲餐酒及日本清酒，處處精彩，叫人回味難忘。,Restaurant 2: Mosu // Description: 餐室設計簡約，以灰色水泥牆面配合星光般的燈飾，落地玻璃外則是維港美景，氣氛柔和寧靜。廚師團隊以南韓人為主，主廚擁有多年法國菜經驗，曾效力於日本多間高級餐廳。多元的文化特色，加上從世界各地搜羅的食材，結合成充滿創意的菜式。菜單以套餐為主，並會不定期更新。,室內設計採用悠閒的地中海風格，讓人暫時遠離中環區的繁囂。祖籍芬蘭、經驗豐富的大廚堅持採用新鮮、主要源自日本的食材，以嫻熟的法式烹調技術，加上北歐精準細緻的態度料理菜餚，令食材的自然滋味得以提升。只供應套餐，包含多道精緻菜式，更可選擇加大主菜分量。服務專業周到，酒單更使人眼前一亮。
99,"請你提供這個在於香港尖沙咀的餐廳的描述: 天寶閣, 這是一間粵菜餐廳。",Restaurant 1: 逸東軒 // Description: 裝潢設計簡約，深色木材配上富情調的燈光，異於傳統中菜廳格調，反展現年輕型格。自1990年開業至今，廚師團隊一直為食客烹調傳統而精緻的粵菜，沒花巧噱頭卻以扎實的烹調功夫盡顯四時食材的鮮味。點心、燒味、小菜和老火湯均深得食客歡迎，不少人更愛於廂房以鮑魚燕窩套餐設宴款客。,Restaurant 2: 富豪 // Description: 雖然位於商場內不顯眼位置，富豪多年來依然屹立不倒，足證正宗而不花巧的粵菜自有引人入勝之處。掌勺二十多年的廚師一直堅持用心烹煮傳統菜式，招牌菜阿翁鮑魚採用自家調製的鮑汁燜煮近二十小時，製作需時且考功夫；薑葱煎鹽香雞和方魚炒芥蘭亦值得一試；以砂鍋烹調的富豪炒飯更是不容錯過。,位於喜來登酒店內，餐室裝潢典雅堂皇，菜餚亦甚具水準。主廚擁有超過二十五年傳統粵菜經驗，功夫扎實。生於經營海味生意的家族使他對挑選和運用名貴海味食材別有一番心得，且擅於烹調以海味為題的菜式。除此之外，需預訂的黑松露薏米燒釀乳豬和魚子芙蓉蛋白龍蝦球均值得一試。
100,"請你提供這個在於香港中環的餐廳的描述: 大班樓, 這是一間粵菜餐廳。",Restaurant 1: 天寶閣 // Description: 位於喜來登酒店內，餐室裝潢典雅堂皇，菜餚亦甚具水準。主廚擁有超過二十五年傳統粵菜經驗，功夫扎實。生於經營海味生意的家族使他對挑選和運用名貴海味食材別有一番心得，且擅於烹調以海味為題的菜式。除此之外，需預訂的黑松露薏米燒釀乳豬和魚子芙蓉蛋白龍蝦球均值得一試。,Restaurant 2: 大榮華 // Description: 光顧大榮華是很多人長途跋涉來到元朗的主要原因。除了供應奶黃馬拉糕等點心，酒家還提供近百款圍村小菜及經典粵式名菜，如香茜燒米鴨、缽仔豬油頭抽撈飯及鹹水檸蒸烏頭，特別推介味濃而肉滑的圍頭五味雞。大廚亦會每月更新時令菜式。餐廳用上五彩繽紛的地氈、明亮的燈光和傳統裝飾，感覺煥然一新。,大班樓於2022年遷址，並更改訂座方式，食客需按公佈於指定日子到網站登記，可說一位難求。廣受老饕支持，全因餐廳講究食材質素，一直自小型供應商和本地漁民取貨，配合扎實的烹調技巧，展現傳統粵菜精粹，雞油花雕蒸大花蟹為招牌菜式。雖只供應套餐，但選項甚豐，並因應時令調整，客人須提前以電郵提交選項。
101,"請你提供這個在於香港尖沙咀的餐廳的描述: Chaat, 這是一間印度菜餐廳。",Restaurant 1: Leela // Description: 裝修採用現代風格，且帶有強烈印度元素，另附設露台可供小酌。印度籍主廚經驗豐富，菜式囊括從北到南各個地域的特色風味，也添加了不少創新元素。餐廳自設特別訂製的土窯爐，建議嘗嘗別具風味的印度烤肉串。也別錯過這裏的鮟鱇魚咖喱，魚料隔天便從法國空運到港，其質地緊實，鮮味十足，適合多人分享。,Restaurant 2: Prince and the Peacock // Description: 餐廳由大廚Palash Mitra主理，店名象徵皇室與權力。菜式靈感來自印度皇家廚房，涵蓋從南到北的地方美食。Nalli Gosht Biryani採用熟成印度香米，與肉味濃郁的羊膝和羊小排一同烹煮，配搭薄荷碎和乳酪，碰撞出煥然一新的滋味。裝潢以印度地毯、花卉擺設等帶出異國情調，且不失尊貴品味。,名字在印地語中解作「舔」，寓意客人把桌上的食物一掃而空。新上任的主廚繼續製作印度各地的經典菜式，推介以土窯爐烹製的黑胡椒烤雞，配上特色雞尾酒和招牌飲品，全面體驗印度風情。名為Masala Room的玻璃房內擺滿香料，令人眼界大開。餐廳坐擁無敵海景及戶外陽台，並飾以印度藝術家創作的壁畫，視覺味覺皆得到滿足。
102,"請你提供這個在於香港土瓜灣的餐廳的描述: 浩記甜品 (土瓜灣), 這是一間街頭小吃餐廳。",Restaurant 1: 魚事者 (北角) // Description: 提供以魚為主題的創新小食：以魚皮模仿墨西哥玉米片，配搭自製牛油果醬和番茄莎莎醬，味道豐富；泰式蝦頭油炸蝦球魚麵撈、炸魚無薯條充滿香氣；晚間才供應的魚米粒粒則製成意大利飯模樣，彈牙好吃。,Restaurant 2: 深深甜品 // Description: 主打港式和台式糖水，風格懷舊。每天新鮮製作的椰子糊屬必試之選，椰香撲鼻，入口香滑濃郁。另外，紫米露配清心丸、腐竹馬蹄清心丸或地道台式甜品也值得一試。,浩記屹立於旺角逾三十年，於2020年遷入現址，繼續提供價格相宜且具水準的傳統中式糖水，生磨芝麻糊、合桃糊、薑汁湯丸等一應俱全。
103,"請你提供這個在於香港大角咀的餐廳的描述: Saya, 這是一間泰國菜餐廳。",Restaurant 1: 泰館 // Description: 和泰麵隸屬同一老闆，共享同一英文店名，連裝潢風格也十分統一：懷舊海報、木製桌椅、從天花懸垂下來的綠色植物，充滿泰國風情。但這裏的菜單更加豐富，其中泰北咖喱使用十一種香料，每天經八小時烹調而成，配以雞蛋製作的麵條，香濃可口。甜品如街頭椰子雪糕、芒果糯米飯也十分出色。餐廳僅接受八人或以上的訂座。,Restaurant 2: 泰麵 // Description: 位於地標藍屋旁邊，餐室以舊傢具、古老小販檔陳設、泰式鐵標牌裝飾，充滿懷舊泰式風情。熱愛泰菜的主廚望透過街頭小吃呈現泰國風味。逾半食材每天由當地直送到店。招牌船麵不容錯過，湯底於早上開始製作，經六小時熬製，滋味濃郁。愛甜品的不妨一嘗泰式椰子雪糕。店外人龍不斷，繁忙時段宜提早前往。,裝潢採用湖水綠色背景，配搭藤製傢具和壁畫，帶有泰國風情。泰籍廚師團隊為客人帶來依善地區的傳統泰菜，例如泰北咖喱金麵、炭火鹽燒魚等。前者在咖喱中加入椰漿，配合炭烤雞肉，非常惹味。後者將全魚以鹽包覆，配搭香茅和斑蘭燒製，佐以生菜、米粉和秘製醬汁享用，風味十足。午市套餐經濟實惠。
104,"請你提供這個在於香港元朗的餐廳的描述: 蘇記燉蛋, 這是一間街頭小吃餐廳。",Restaurant 1: 時代豆業 // Description: 小店開業廿多年，主售中式糕點餅食，如傳統的缽仔糕、紅豆糕、芝麻卷、茶果，或較新式的糯米糍和斑蘭糕等，款式多樣，各有特色。,,只供應原味牛奶燉蛋白──以北海道牛乳和鮮蛋白燉製，呈薄膜狀的表面下為流心蛋白，嫩滑非常。設冷及熱兩種選擇，後者即點即燉，需耐心等待。
105,"請你提供這個在於香港中環的餐廳的描述: Godenya, 這是一間日本菜餐廳。",Restaurant 1: 瑞兆 // Description: 主廚曾於銀座工作，與當地漁販關係良好，優質食材每天由日本直送到港。午市提供嘗味套餐及廚師發辦套餐，晚市則只供應一款廚師發辦套餐。來自鹿兒島薩摩的牛腰脊肉味香濃，是店裏的招牌菜。同樣值得一試的還有薩摩和牛配慢煮蛋黃，蛋香濃郁，牛肉入口即化。可向服務員查詢清酒配搭。需提早訂座。,Restaurant 2: Ryota Kappou Modern // Description: 老闆兼主廚以豐富經驗和當季的上乘食材，製作割烹風格的日式美食，菜單更會隨季節更新。其中晚市套餐包括餐廳自家代理的清酒，讓客人以美酒配佳餚。建議坐在圍繞開放式廚房的板前位置，好好欣賞廚師功架。餐室被落地玻璃圍繞，加上名家設計的傢具和陶瓷餐具，提供了獨特的視覺享受。,位置隱蔽，須由The Wellington旁的樓梯往上走進內街方可到達。其門面和內部設計同樣簡潔，設有以百年樹齡的柏木製成的六人長桌，亦備有包廂。提供割烹風格的主廚發辦套餐，食材九成來自日本，菜單和食材均能反映當季獨有風味。廚師熟知日本清酒的特色，會按菜式調整酒品的溫度，以突出其風味。
106,"請你提供這個在於香港灣仔的餐廳的描述: 品味, 這是一間街頭小吃餐廳。",Restaurant 1: 方太糕品舖 // Description: 於2022年遷到廟街，繼續提供每天人手蒸製的中式糕點，包括缽仔糕、白糖糕等。其配方用糖量較少，質感軟彈，味道層次分明，其中又以芝麻卷的味道特別濃郁。,,這外賣店由居港多年的越南店主開設，主打越式法包，提供五款配料組合，如越南進口的扎肉、肥瘦相間的叉燒等，法包每日新鮮烘焙，口味地道。另有撈檬和越南咖啡供應。
107,"請你提供這個在於香港中環的餐廳的描述: Beefbar, 這是一間扒房餐廳。",Restaurant 1: Carna by Dario Cecchini // Description: 餐廳位於精品酒店高層，落地窗帶來開闊視野，幾乎每個位置都可以欣賞到維港的迷人景色。Dario Cecchini為意大利著名的肉店店主，除了引入家鄉的肉品，也提供澳洲、美國、日本等地的牛扒，且遵從「從頭吃到尾」(Nose-to-Tail) 的烹調理念，將牛隻切割為18個部位。菜單上也有各種意式美食，酒單則涵蓋意大利多個產區的佳釀。,Restaurant 2: The Steak House // Description: 位於重新開業的麗晶酒店內，採用落地玻璃和鏡面設計，可多角度飽覽維港景色。菜單網羅來自意大利、西班牙、韓國、日本、澳洲、美國等地的優質牛扒，也有由摩洛哥籍主廚處理的熟成牛扒，不妨向店員查詢。佐料方面，提供多款鹽品、醬汁和自家調製的芥末。此外，各式前菜、沙律、熟食冷肉、芝士等也琳瑯滿目。,這家源自摩納哥的扒房裝潢亮眼，以白色雲石配搭黑色皮革，時尚有型。主要供應來自美國、澳洲、日本、韓國的頂級牛扒，無論是安格斯牛、和牛或神戶牛，不同部位都被烤至恰到好處。不要錯過大受歡迎的肋眼蓋，外層微微焦脆，內裏則軟嫩多汁。前菜選擇豐富，其中墨西哥卷餅和席前炮製的牛肉他他均美味可口。
108,"請你提供這個在於香港中環的餐廳的描述: Mono, 這是一間拉丁美洲菜餐廳。",,,委內瑞拉主廚結合在歐洲及本地的經驗，以上乘食材和現代烹飪技巧，呈現其文化本源。他運用多款當地食材及自製醬汁，務求以鮮艷顏色和豐富的味道，讓客人飽嘗南美風情。招牌菜式小龍蝦食材源自丹麥，肉質細嫩，配合自家發酵的可可果和濃湯，令小龍蝦的鮮味異常突出。僅接受網上訂座。
109,"請你提供這個在於香港尖沙咀的餐廳的描述: 唐閣, 這是一間粵菜餐廳。",Restaurant 1: 營致會館 // Description: 裝潢典雅時尚，讓客人在舒適的環境中享用精緻美食。主廚着重選料新鮮，加上熟練的烹調技巧，炮製出細緻傳統的廣東菜。招牌菜脆香貴妃雞皮脆酥香、口感嫩滑。另外推介肉質鮮嫩中帶香脆的香葱爆乳龍。地下酒吧專售氈酒調製的雞尾酒，也有輕井澤威士忌等較特別的選擇。,Restaurant 2: 新同樂 // Description: 廚師團隊經驗豐富，加上選材嚴謹、用料新鮮，俘獲一眾食客的味蕾。除了經典招牌菜百花脆皮乳豬件，鮮蘑菇焗釀蟹蓋、燒汁乾煏牛肋骨也值得一試。提供多款套餐，當中包括以進口食材糅合獨特創意的廚師推介美食。部分菜餚可按人數調整分量，靈活貼心。點心菜單恆常更換，新鮮感十足。,開業逾三十年，各款粵式佳餚均由經驗豐富的廚房團隊主理，食物水準不言而喻，難怪能吸引食客再三前往。其北京片皮鴨、三葱爆龍蝦、釀焗鮮蟹蓋皆深受歡迎，用料十足的湯羹更加不容錯過。在等待美食的時候，不妨欣賞四周高雅的布藝裝飾、一絲不苟的餐桌佈置和一系列引人入勝的藝術品。
110,"請你提供這個在於香港西營盤的餐廳的描述: Lucale, 這是一間意大利菜餐廳。",Restaurant 1: Involtini // Description: 裝潢簡約優雅，建議選擇開放式廚房旁的座位，欣賞烹調過程。選用意大利原材料、每天新鮮製作的意粉一直是店內招牌，廚師於前一晚製作麵糰，讓其休息一晚後才製成麵條，口感特佳，意粉款式更會不時更替。推薦紅蝦意大利幼麵，濃郁的醬汁掛在彈牙的麵條上，配搭鮮甜的原隻加勒比海紅蝦，叫人回味。,Restaurant 2: Estro // Description: 自2021年開業以來，來自拿坡里的主廚一直選用意大利、法國及日本的優質食材，提供傳統意菜，並於午、晚餐時段各設不同套餐。招牌紅蝦奶凍呈現漂亮的珊瑚紅色，表面是滿滿的魚子醬，非常奢華。各式手工意粉也不容錯過，鈕扣造型的尤其富有特色。設有主廚餐桌，能與大廚作直接交流，惟須提早查詢。,由兩位意籍大廚聯手經營，店內的肉類、芝士、餐酒等都由意大利空運到港，藉此帶給客人最地道的家鄉美食。特別推介自家製的意大利粉，尤其是配搭羊奶芝士和核桃麵包碎的黑松露意粉，香氣四溢，口感恰到好處。酒單豐富，且價格合理。美酒佳餚兼備，餐廳即使藏身於街巷裏，依然不乏捧場客。
111,"請你提供這個在於香港尖沙咀的餐廳的描述: 御寶軒 (尖沙咀), 這是一間粵菜餐廳。",Restaurant 1: 大圍小館 (大圍) // Description: 門外一串串紅燈籠、室內一户户桃木窗框和一幅幅屏風，與餐廳供應的傳統粵菜相映成趣。午市時段以供應點心為主，多款坊間少見的經典點心，如鴛鴦臘腸卷、香煎糯米雞等仍能在此品嘗得到。晚市供應的粵式小菜款式多、分量足，菜式名字趣緻，如麻甩吊桶仔，以新鮮雞隻烹調的雞餚值得一試。,Restaurant 2: 龍景軒 // Description: 坐擁維港美景，餐廳從世界各地搜羅優質食材，為傳統粵菜注入不一樣的元素，加上出色的烹調手法，令其一直深受粵菜愛好者歡迎。除了主菜單，亦因應時令供應當季菜式。各款燉湯用料豐富，不容錯過；若於午市到訪，不妨試試精美的點心。侍酒師會為客人提供餐酒建議，不嗜酒的朋友也不乏茶品選擇，當中包括有機凍汽茶。,御寶軒在香港的首家分店選址在九龍半島地標北京道一號，坐擁無敵維港兩岸景色，加上時尚中帶點中國風的設計－－水泥牆上的立體陶瓷鯉魚和樑柱上的書法－－令人悠然神往！廚房內附設魚缸，每天都有鮮活的海鮮供應。脆米海鮮浸東星、糯米釀脆皮乳豬及胡椒炒蟹是招牌菜。
