id,question,answer
259,我想去三星嘅德國菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅德國菜推介。！
260,我想去三星嘅閩菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅閩菜推介。！
261,我想去三星嘅台灣菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅台灣菜推介。！
262,我想去三星嘅鐵板燒，有咩推介呀？,你可以去抱歉，暫時未有三星嘅鐵板燒推介。！
264,我想去三星嘅馬來西亞菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅馬來西亞菜推介。！
265,我想去三星嘅粥麵，有咩推介呀？,你可以去抱歉，暫時未有三星嘅粥麵推介。！
267,我想去三星嘅扒房，有咩推介呀？,你可以去抱歉，暫時未有三星嘅扒房推介。！
268,我想去三星嘅時尚意大利菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅時尚意大利菜推介。！
269,我想去三星嘅湘菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅湘菜推介。！
270,我想去三星嘅餃子，有咩推介呀？,你可以去抱歉，暫時未有三星嘅餃子推介。！
271,我想去三星嘅點心，有咩推介呀？,你可以去抱歉，暫時未有三星嘅點心推介。！
274,我想去三星嘅星馬菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅星馬菜推介。！
275,我想去三星嘅時尚中國菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅時尚中國菜推介。！
277,我想去三星嘅意大利菜，有咩推介呀？,你可以去8 1/2 Otto e Mezzo - Bombana！
278,我想去三星嘅粵菜，有咩推介呀？,你可以去唐閣、富臨飯店！
279,我想去三星嘅浙江菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅浙江菜推介。！
280,我想去三星嘅潮州菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅潮州菜推介。！
281,我想去三星嘅歐陸菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅歐陸菜推介。！
282,我想去三星嘅燒味，有咩推介呀？,你可以去抱歉，暫時未有三星嘅燒味推介。！
283,我想去三星嘅新疆菜，有咩推介呀？,你可以去抱歉，暫時未有三星嘅新疆菜推介。！
284,我想食意大利菜，你有冇邊間推介呀？,你可以考慮吓Octavium，呢間餐廳優雅的意大利傢具、妝點牆身的挪威樹皮、簡約的設計，都令人放鬆心情。菜單同樣呈現極簡主義：來自西西里島的新任主廚，選用日本新鮮食材，並把家鄉特色融入醬料之中。菜單包括多款海鮮及肉類，手工意粉更是不容錯過，尤其推薦招牌菜紅蝦意麵。如欲有完整的用餐體驗，不妨選擇六或八道菜的品嘗菜單。。。
285,我想食時尚法國菜，你有冇邊間推介呀？,你可以考慮吓Amber，呢間餐廳這典雅的餐廳以金色和米色為主調，加上名貴皮革座椅、淺色橡木餐桌等，盡顯奢華優雅。主廚以法國菜的技巧，配合各地進口的優質食材，設計出多款套餐。烹飪風格貼合現代飲食潮流：精緻、輕盈、低糖低鹽、不含麩質和奶製品，更提供素食選擇，滿足追求健康的客人。。。
286,我想食壽司，你有冇邊間推介呀？,你可以考慮吓志魂，呢間餐廳由著名室內設計師、木材及陶瓷職人聯手，雕琢出精緻的用餐環境。料理長柿沼先生十分重視料理的細節，他尤其擅長以熟成技巧處理魚料，如在熟成過程中加入不同的酒盜以作提味；米飯則選用來自京都、經特別混合的新米，以加強香味、甜度和幼滑度，配合兩種熟成四年的醋，令整體味道更臻極致。。。
287,我想食創新菜，你有冇邊間推介呀？,你可以考慮吓Arbor，呢間餐廳室內設計採用悠閒的地中海風格，讓人暫時遠離中環區的繁囂。祖籍芬蘭、經驗豐富的大廚堅持採用新鮮、主要源自日本的食材，以嫻熟的法式烹調技術，加上北歐精準細緻的態度料理菜餚，令食材的自然滋味得以提升。只供應套餐，包含多道精緻菜式，更可選擇加大主菜分量。服務專業周到，酒單更使人眼前一亮。。。
288,我想食日本菜，你有冇邊間推介呀？,你可以考慮吓割烹凜，呢間餐廳由銀座名店吉武壽司與本地的志魂聯手創立，呈現輕鬆而獨特的割烹料理體驗。日籍主廚來自仙台，擅於以獨特的調味配合優質食材，表達濃厚的味道。他透過每季節變更的廚師發辦套餐，展示對日本海陸產物的珍視，不論生食或熟食，均突顯材料的自然風味。不妨配搭日本清酒佐餐。惟座位有限，建議提早訂座。。。
289,我想食意大利菜，你有冇邊間推介呀？,你可以考慮吓Testina，呢間餐廳水磨石地板、橄欖綠色傢具，加上芥末黃色牆壁，裝潢洋溢七十年代米蘭的格調。餐廳與意大利食府Trippa Milano合作，依其食譜烹調經典的北意美食。菜單包含以豬頭肉、牛肚等食材炮製的菜式，體現「從頭吃到尾」的烹飪理念。推薦鴨肉醬闊條麵，其味道濃郁，不容錯過。愛嘗新的不妨留意隔天更新的特別菜單。。。
290,我想食意大利菜，你有冇邊間推介呀？,你可以考慮吓8 1/2 Otto e Mezzo - Bombana，呢間餐廳店東兼主廚Umberto Bombana除了熱衷烹飪，也對電影充滿熱情，因此餐廳以意大利著名導演費里尼的作品《八部半》命名。食物亦處處展露意國魅力，菜單羅列多款經典意大利美食，包括不容錯過的手製意粉，以及因應時令而設計的限定菜式。色、香、味俱全的佳餚，加上無懈可擊的服務，令人難以忘懷。。。
292,我想食燒味，你有冇邊間推介呀？,你可以考慮吓一樂燒鵝，呢間餐廳早於1957年開業，鎮店招牌脆皮燒鵝油光亮澤，乃根據老闆朱先生的家族秘方醃製，在自設工場經二十多道工序燒烤，色香味俱佳。每次只出爐十隻，因此得靠點運氣才可嘗到特定部位。一人獨享的話，建議點選四分一隻燒鵝，配搭鵝油清湯瀨粉。其他燒味均以炭爐燒烤，不要錯過化皮燒腩仔和蜜汁叉燒。。。
293,我想食時尚法國菜，你有冇邊間推介呀？,你可以考慮吓L'Atelier de Joël Robuchon，呢間餐廳Joël Robuchon 無疑是高級法國菜的同義詞。標誌性的紅黑裝潢，還有可欣賞到廚師出色烹調技巧的開放式廚房，皆是其餐廳標誌。由法籍主廚帶領的團隊，精挑細選世界各地的優質食材，巧手烹製成一道道精細的時尚菜餚。從選擇琳瑯滿目的麵包籃、精緻細膩的餐前小食，至餐後的小甜點，皆呈現了美味的極致。。。
294,我想食創新菜，你有冇邊間推介呀？,你可以考慮吓旅，呢間餐廳日籍大廚佐藤秀明將「純粹、簡約、時令」奉為其烹調信條，同時樂於嘗試不同的烹調技巧及食材配搭。其創作糅合了法式烹調手法和來自日本的時令頂級食材，菜式的質感和味道皆別樹一幟，滋味非凡。從每天新鮮製作的發酵奶油及酸種麵包，以至配搭的亞洲餐酒及日本清酒，處處精彩，叫人回味難忘。。。
295,我想食日本菜，你有冇邊間推介呀？,你可以考慮吓Ryota Kappou Modern，呢間餐廳老闆兼主廚以豐富經驗和當季的上乘食材，製作割烹風格的日式美食，菜單更會隨季節更新。其中晚市套餐包括餐廳自家代理的清酒，讓客人以美酒配佳餚。建議坐在圍繞開放式廚房的板前位置，好好欣賞廚師功架。餐室被落地玻璃圍繞，加上名家設計的傢具和陶瓷餐具，提供了獨特的視覺享受。。。
296,我想食時尚歐陸菜，你有冇邊間推介呀？,你可以考慮吓Arcane，呢間餐廳開放式廚房讓食客能一窺澳洲籍主廚Shane Osborn烹調時的專注、體會他的熱情，以簡易方式烹調日本海鮮、澳洲牛肉和法國有機雞肉等食材，也反映了他對食材的尊重。讓用餐體驗更完滿，不妨請經驗豐富的侍酒師為您配對餐酒，當中涵蓋勃艮第、大洋洲和美國等地產物。價格合理的午膳套餐值得一試。。。
297,我想食時尚法國菜，你有冇邊間推介呀？,你可以考慮吓Zest by Konishi，呢間餐廳佔地兩層，可先到上層欣賞風景並享用雞尾酒，再往下層品嘗當代法式美食。色調柔和的室內設計帶有自然氣息，氛圍悠閒輕鬆。主廚強調不時不食，採用來自日本、法國和本地的時令食材。品嘗套餐的主菜包括海鮮和肉類，配菜亦同樣出色。供二人分享的平原雞廣受歡迎，但備菜時間較長，建議提前查詢。。。
298,我想食日本菜，你有冇邊間推介呀？,你可以考慮吓長本，呢間餐廳告別柏屋後，大廚長本先生在原址另闢新店，並以全新面貌迎接客人：主餐室的吧檯由深棕色樹幹製成，安坐於此可以欣賞到主廚在席前準備菜餚。供應單一菜單，以最鮮美的當季食材製成懷石料理，從頭盤到甜品，處處顯露主廚對食材的透徹了解。服務員更會於席間介紹菜式由來和相關日本風俗，十分有趣。。。
300,我想食粵菜，你有冇邊間推介呀？,你可以考慮吓陸羽茶室，呢間餐廳樓高三層的陸羽茶室不但深受本地食客歡迎，更有不少外地遊客慕名而至，故經常門庭若市。店內環境典雅，以酸枝椅和字畫作裝飾，充滿懷舊味道之餘又帶點殖民地色彩，別具特色。穿着白色外套的侍應工作敏捷而專注；茶室以傳統方法製作美味點心，乾炒牛河及脆皮炸子雞等小菜也值得一試。。。
301,我想食餃子，你有冇邊間推介呀？,你可以考慮吓王府，呢間餐廳王府扎根於威靈頓街多年，其北京水餃遠近馳名，多款餃子每天由人手新鮮包製。除了泡煮水餃外，店內亦有供應煎餃，餃子外皮煎至略帶焦脆，內餡仍保留着肉汁，份外味美。羊肉京葱餃和花素餃不容錯過，各款涼菜小吃亦別具京川風味。別忘了留意店家的是日精選，當中或會有一些新口味。。。
302,我想食粵菜，你有冇邊間推介呀？,你可以考慮吓廚魔名人坊，呢間餐廳由廚魔梁經倫和名人坊的富哥攜手合作，令人引頸以待的菜單以傳統粵菜為主，你可找到富哥的招牌菜如燕窩釀鳳翼、花雕飛天雞等。另一方面，兩人也大膽地運用西式食材，創作出令人眼前一亮的菜式。例如魔幻脆皮大腸以混有黑松露的墨魚膠釀入豬大腸中，炸至外層香脆而內餡軟彈，且每口都溢滿香氣，值得一試。。。
303,我想食意大利菜，你有冇邊間推介呀？,你可以考慮吓Estro，呢間餐廳自2021年開業以來，來自拿坡里的主廚一直選用意大利、法國及日本的優質食材，提供傳統意菜，並於午、晚餐時段各設不同套餐。招牌紅蝦奶凍呈現漂亮的珊瑚紅色，表面是滿滿的魚子醬，非常奢華。各式手工意粉也不容錯過，鈕扣造型的尤其富有特色。設有主廚餐桌，能與大廚作直接交流，惟須提早查詢。。。
304,我想食粵菜，你有冇邊間推介呀？,你可以考慮吓營致會館，呢間餐廳裝潢典雅時尚，讓客人在舒適的環境中享用精緻美食。主廚着重選料新鮮，加上熟練的烹調技巧，炮製出細緻傳統的廣東菜。招牌菜脆香貴妃雞皮脆酥香、口感嫩滑。另外推介肉質鮮嫩中帶香脆的香葱爆乳龍。地下酒吧專售氈酒調製的雞尾酒，也有輕井澤威士忌等較特別的選擇。。。
306,我想食滬菜，你有冇邊間推介呀？,你可以考慮吓嘗申滙，呢間餐廳位於商業大廈頂樓，餐廳共佔三層空間，客人先乘電梯到43樓，再由接待員安排入座。佈置以綠色絲絨為主，格調高雅，透過落地玻璃可俯瞰維港景色。主要提供上海和江浙佳餚，菜單羅列多款經典菜式，例如手撕四喜烤麩、龍鬚桂魚、香煎八寶飯，以及招牌菜桂花蜜汁火方。午市提供套餐，方便商務宴請。。。
307,我想食印度菜，你有冇邊間推介呀？,你可以考慮吓New Punjab Club，呢間餐廳餐廳供應北印度美食，客人會找到眾多以土窯爐烤製的佳餚，例如小食窯烤蛋，選用日本雞蛋搭配海螯蝦，蛋香濃郁，味道豐富。招牌菜則有以本地三黃雞烹調的Murgh Methi Tikka。菜式分量較大，不妨呼朋喚友共享，同時品嘗多款以氈酒調配的雞尾酒。服務令人感到賓至如歸。建議於網上訂座。。。
308,我想食雞肉串燒，你有冇邊間推介呀？,你可以考慮吓酉玉，呢間餐廳為了確保肉質鮮嫩，餐廳選用只有四十天大的雞隻，由日籍主廚製作成超過二十八種不同部位的串燒，當中包括雞胸腺等需預訂的特別部位，每一串都烤得恰到好處。廚師更會因應客人的進食速度預備食物，並親自送到面前。除了雞肉串，不同季節也會提供相應漬物，值得一試。但座位不多，建議訂座。。。
309,我想食粵菜，你有冇邊間推介呀？,你可以考慮吓文華廳，呢間餐廳文華廳於2020年重新裝潢，採用深藍色調配合鳥籠設計的吊燈，融合中西設計細節，環境依舊優雅。菜單則加入不少傳統手工菜式，同時為經典注入新元素，例如特色菜松茸戈渣。不論點心、燒味或小菜，皆展現了廚師團隊扎實的廚藝。酒單方面亦增添新意，引入蒙瓶品嘗，由侍酒師為客人挑選餐酒，驚喜十足。。。
310,我想食時尚法國菜，你有冇邊間推介呀？,你可以考慮吓Ami，呢間餐廳餐廳糅合美食與小酒館，菜單上可找到手切牛肉他他、即叫即焗的梳乎厘等經典法國菜式。現任年輕主廚來自法國南部，為這裏的菜餚注入更多新意。如果想有更完整的餐飲體驗，不妨選擇季節品嘗菜單。供應超過四百款蘇格蘭、日本等地的稀有威士忌，讓客人暢享美饌和佳釀。天氣晴朗的日子，到露台位置用餐更感悠閒寫意。。。
314,我想食德國菜，你有冇邊間推介呀？,你可以考慮吓Heimat，呢間餐廳名稱在德文解作「家鄉」，而餐廳的佈置和用餐氛圍，也洋溢着家的感覺。德籍主廚抱着回味美好童年回憶的願景，以精緻角度呈現家鄉菜餚，為食客帶來嶄新的德菜體驗。除了包含六道菜的品嘗菜單，午市也提供三道菜的套餐，並設有果汁配搭服務。飯後，餐廳會奉上小熊軟糖，充滿德國風情。。。
316,我想食時尚法國菜，你有冇邊間推介呀？,你可以考慮吓Clarence，呢間餐廳由法籍大廚Olivier Elzer創立，在亞洲生活多年的經驗，啟發他以清蒸、鐵板燒等東亞技巧呈現法國美食，包括一系列將油封鴨、青蛙腿等法式經典製成串燒的Yakifrenchy菜式。部份菜式更設計成可供多人共享。餐廳劃為四個區域，賦予多元的餐飲體驗。如果只想來點輕食，可選擇帶日式風格的Raw & Wine Bar。。。
319,我想食粵菜，你有冇邊間推介呀？,你可以考慮吓唐人館，呢間餐廳由已故鄧永鏘爵士構思及設計，是其繼倫敦唐人館後又一傑作。人手刺繡的牆紙、獨特的鏡飾、古董燈飾及線裝中式排版菜譜，中式傳統藝術與西方美學結合得天衣無縫，流露出典雅貴氣。菜單涵蓋粵、京、川等地美食及精製南北點心：老北京傳統掛爐烤鴨、唐人館叉燒和琉璃蝦球等，滋味無窮。。。
320,我想食粵菜，你有冇邊間推介呀？,你可以考慮吓星記，呢間餐廳星記是中環區難得一見的粵式小菜館，以扎實的烹調技巧及新鮮食材見稱。以大廚名字命名的輝哥煎咸雞肉質嫩滑又惹味，值得一試。金榜醬戈巴焗大花蝦則鮮味十足，咸香的醬汁更可沾鍋巴來吃，十分香口。另建議預訂燉湯如杏汁花膠燉豬肺。餐廳於午市提供一系列價格實惠的小菜，甚受上班族歡迎。。。
321,我想食粵菜，你有冇邊間推介呀？,你可以考慮吓都爹利會館，呢間餐廳廚師團隊選用高級食材，炮製出精緻粵菜。鮮蟹肉桂花炒蝦絲透出馥郁鮮香，炒開的雞蛋金黃如桂花，配搭清脆的銀芽，是這裏的招牌菜。都爹利吊炸雞經過近三百次反覆油淋，外皮薄脆，肉質嫩滑入味，充滿油脂香氣，建議提前預留。室內佈置令人恍若置身於藝術館，也會定期舉行藝術展覽，用餐體驗更為豐富。。。
322,我想食創新菜，你有冇邊間推介呀？,你可以考慮吓廚魔，呢間餐廳由灣仔移師中環後，空間變得更寬敞舒適。除了引人注目的開放式廚房，餐室不同角落也以藝術品點綴，全都由主廚老闆精心挑選，充分展示香港文化元素，作為獻給這座城市的讚歌。和以往一樣，只提供套餐，菜式極具創意和特色，不但融合中式元素，設計更帶有藝術感，處處顯露主廚的心思。。。
324,我想食時尚歐陸菜，你有冇邊間推介呀？,你可以考慮吓Cornerstone，呢間餐廳簇新而現代化的小餐館，佇立在蘇豪區之中，裝潢以灰色作主調，內外都型格十足。儘管老闆的定位是澳洲餐廳，卻選用來自世界各地的優質食材，菜式具有歐洲和亞洲元素，無論是味道還是口感都十分出色，而且服務員親切友善，價錢也物有所值。餐單每月更新數次，為常客保持新鮮感。只接受網上訂座。。。
325,我想食時尚歐陸菜，你有冇邊間推介呀？,你可以考慮吓Neighborhood，呢間餐廳位於荷李活道旁的小巷，低調的門面呼應着簡約裝潢，氣氛悠閒舒適。老闆兼主廚曾於美國習廚，擅長烹調海鮮菜式，每天會到漁市場採購本地海產，以香料烹製的燻魚尤其不能錯過。菜單設約二十種定期更換的小吃，如果想分享，不妨預訂北海道喜知次海鮮飯、羊肚菌鹽焗雞飯等菜式，又或向店員查詢當天的菜單。。。
327,我想食時尚法國菜，你有冇邊間推介呀？,你可以考慮吓Feuille，呢間餐廳法國主廚David Toutain首間在海外開設的餐廳，名字取自法文的「葉子」。採用本地生產及有機農場的食材，結合法式烹飪手法，炮製出蔬菜為主的時令美饌。品嘗菜單以植物的生命週期為主題，分為「穀物和種子」、「根莖葉」、「花和水果」及「起源」四個部分，小茴香雞蛋甜粟米、Feuille麵包和炭燒龍蝦等均值得期待。。。
328,我想食創新菜，你有冇邊間推介呀？,你可以考慮吓Vea，呢間餐廳開放式廚房和櫃枱座位佔據餐室的主要位置，安坐此處可一睹廚師團隊揮灑自如的烹調過程。主廚採用中式及本地食材，結合現代法式烹飪技巧，展現中法聯乘的烹飪理念。他亦從自己的童年回憶和香港飲食文化獲取靈感，創作出八道菜的品嘗菜單，每道菜各有不同故事，滿載巧思。雞尾酒配搭饒富創意，值得一試。。。
329,我想食時尚意大利菜，你有冇邊間推介呀？,你可以考慮吓Noi by Paulo Airaudo，呢間餐廳大廚Paulo Airaudo與年輕主廚Luigi Troiano聯手，以現代烹飪技巧呈現意式美食。逾十道菜的套餐以每天直送自日本的海鮮為主，並會根據時令，每兩三個月更換食材。以北海道赤海膽配豌豆煮成的蒸蛋，味道出眾，是招牌之作；炭烤藍龍蝦亦同樣出色。葡萄酒配搭令用餐體驗更加完美，令人一試難忘。。。
331,我想食創新菜，你有冇邊間推介呀？,你可以考慮吓永，呢間餐廳採主廚名字其中一字的中、英文拼湊成餐廳標誌，正反映其中、西交融的核心概念。套餐運用了大量本地及中式食材，以歐陸式烹調手法呈現中菜精髓。當中不乏創新配搭，也有經重新演繹的主廚經典創作。餐廳於每晚零時零分開放一個月後新一天的訂座，若想一試主廚手藝，務必準時登入網頁預約。。。
332,我想食時尚歐陸菜，你有冇邊間推介呀？,你可以考慮吓Whey，呢間餐廳乳清是芝士製造過程中的副產品，餐廳以「Whey」命名，表明其物盡其用、支持可持續發展的決心。來自新加坡的主廚採用本地時令食材和有機農作物，把家鄉特色融入當代歐陸菜式之中。品嘗菜單滿載新加坡風味，招牌法式麵包配黑果醬令人回味，貓山王榴槤雪糕更是主廚的自傲之作，巧妙配搭魚子醬，為味蕾帶來驚喜。。。
333,我想食日本菜，你有冇邊間推介呀？,你可以考慮吓Godenya，呢間餐廳位置隱蔽，須由The Wellington旁的樓梯往上走進內街方可到達。其門面和內部設計同樣簡潔，設有以百年樹齡的柏木製成的六人長桌，亦備有包廂。提供割烹風格的主廚發辦套餐，食材九成來自日本，菜單和食材均能反映當季獨有風味。廚師熟知日本清酒的特色，會按菜式調整酒品的溫度，以突出其風味。。。
334,我想食壽司，你有冇邊間推介呀？,你可以考慮吓鮨．齋藤，呢間餐廳餐廳由日本大廚齋藤孝司監督，雖已開業逾年，但人氣持續高企，經常一位難求。要成功入座，必須在特定日子致電訂座熱線。成功訂座的幸運兒，才有機會於柏木製造的壽司枱前就座。廚師以秋田及長野的米混合煮成壽司飯，結合頂級時令海產、鹿兒島泉水和特製醬醋製作壽司，每一件都值得細味品嘗。。。
335,我想食時尚法國菜，你有冇邊間推介呀？,你可以考慮吓Louise，呢間餐廳選址在具歷史價值的前已婚警察宿舍，室內飾以復古牆紙、水晶燈飾等，重塑三十年代殖民地風情。餐廳由法籍廚師Julien Royer監督，客人不妨先在樓下的酒吧淺酌，然後到樓上的主用餐區，享用選料上乘、賣相精緻的法式菜餚。其中，冷肉批、鴿胸配鴨肝及適合分享的烤本地三黃雞均值得一試。亦有侍酒師提供配酒服務。。。
337,我想食粵菜，你有冇邊間推介呀？,你可以考慮吓大班樓，呢間餐廳大班樓於2022年遷址，並更改訂座方式，食客需按公佈於指定日子到網站登記，可說一位難求。廣受老饕支持，全因餐廳講究食材質素，一直自小型供應商和本地漁民取貨，配合扎實的烹調技巧，展現傳統粵菜精粹，雞油花雕蒸大花蟹為招牌菜式。雖只供應套餐，但選項甚豐，並因應時令調整，客人須提前以電郵提交選項。。。
338,我想食粥麵，你有冇邊間推介呀？,你可以考慮吓正斗粥麵專家，呢間餐廳坐落於機鐵站上蓋，這家粥麵店每天接待逾千個顧客，當中大部分是在附近工作的上班族，繁忙時間到訪，便要有排隊久候和拼桌的準備。店內的招牌鮮蝦雲吞麵和乾炒牛河都是受歡迎之選。此外，生猛大蝦粥亦值得一試；若喜歡一盅兩件，餐廳亦供應多款點心。有別於傳統粥麵店，室內設計時尚舒適。。。
340,我想食粵菜，你有冇邊間推介呀？,你可以考慮吓口利福，呢間餐廳餐廳裝潢風格大膽：以麻將和招財貓點綴牆身，地庫掛有中西合璧的藝術品，加上背景響起的八十年代金曲，整室洋溢着熱鬧氣氛。菜單囊括傳統廣東菜及創意菜式，主廚巧妙地在經典菜餚中施以細微變化，令口味提升，例如用上沙薑製成的薑蓉來配搭脆皮三黃雞。部分菜式需提前預訂。。。
342,我想食粵菜，你有冇邊間推介呀？,你可以考慮吓龍景軒，呢間餐廳坐擁維港美景，餐廳從世界各地搜羅優質食材，為傳統粵菜注入不一樣的元素，加上出色的烹調手法，令其一直深受粵菜愛好者歡迎。除了主菜單，亦因應時令供應當季菜式。各款燉湯用料豐富，不容錯過；若於午市到訪，不妨試試精美的點心。侍酒師會為客人提供餐酒建議，不嗜酒的朋友也不乏茶品選擇，當中包括有機凍汽茶。。。
343,我想食時尚法國菜，你有冇邊間推介呀？,你可以考慮吓Belon，呢間餐廳搬遷後一改以往的小酒館風格，裝潢更加亮麗高檔。主廚擅於以法式烹調技巧料理本地時令食材，他不僅重新構思餐廳的經典菜餚，更推出多款全新菜式。廚房前設四人吧檯座位，讓食客一邊欣賞烹調過程，一邊享用包含餐酒配搭的精選四人菜單，惟須預約。單點菜單則提供烤全雞等招牌菜，適合多人分享。。。
344,我想食日本菜，你有冇邊間推介呀？,你可以考慮吓瑞兆，呢間餐廳主廚曾於銀座工作，與當地漁販關係良好，優質食材每天由日本直送到港。午市提供嘗味套餐及廚師發辦套餐，晚市則只供應一款廚師發辦套餐。來自鹿兒島薩摩的牛腰脊肉味香濃，是店裏的招牌菜。同樣值得一試的還有薩摩和牛配慢煮蛋黃，蛋香濃郁，牛肉入口即化。可向服務員查詢清酒配搭。需提早訂座。。。
345,我想食越南菜，你有冇邊間推介呀？,你可以考慮吓Brass Spoon，呢間餐廳這小小的麵店選址於寧靜的街區上，供應的是地道的越式河粉。於法國習廚的主廚兼店東注重細節，湯底以牛小腿骨熬煮逾十六小時而成，味道濃郁。設不同級別的美國牛肉供選擇，也可添加牛筋、牛柏葉、牛丸和扎肉等配料。菜單也有各種越式小食，如春卷和蒸粉卷等。小店頗受歡迎，要有排隊的準備。。。
